"","x"
"1",0.461465724020007
"2",0.659288943466274
"3",3
"4",3
"5",3
"6",2
"7",2
"8",4
"9",4
"10",3
"11",3
"12",3
"13",3
"14",3
"15",3
"16",3
"17",3
"18",3
"19",3
"20",3
"21",3
"22",2
"23",3
"24",3
"25",3
"26",3
"27",3
"28",3
"29",3
"30",3
"31",3
"32",3
"33",3
"34",3
"35",3
"36",3
"37",3
"38",2
"39",2
"40",3
"41",3
"42",3
"43",3
"44",3
"45",3
"46",2
"47",4
"48",2
"49",3
"50",4
"51",3
"52",3
"53",3
"54",3
"55",3
"56",3
"57",2
"58",2
"59",4
"60",3
"61",3
"62",3
"63",3
"64",3
"65",3
"66",3
"67",3
"68",3
"69",3
"70",3
"71",3
"72",3
"73",3
"74",3
"75",3
"76",3
"77",3
"78",3
"79",3
"80",3
"81",3
"82",3
"83",3
"84",3
"85",3
"86",3
"87",3
"88",2
"89",3
"90",3
"91",2
"92",2
"93",4
"94",4
"95",3
"96",3
"97",3
"98",2
"99",3
"100",3
"101",2
"102",4
"103",4
"104",4
"105",3
"106",3
"107",3
"108",3
"109",3
"110",3
"111",3
"112",2
"113",4
"114",4
"115",3
"116",3
"117",3
"118",3
"119",3
"120",3
"121",3
"122",3
"123",3
"124",3
"125",3
"126",3
"127",3
"128",3
"129",3
"130",3
"131",3
"132",3
"133",3
"134",3
"135",3
"136",3
"137",3
"138",3
"139",3
"140",2
"141",2
"142",3
"143",3
"144",2
"145",4
"146",4
"147",4
"148",3
"149",3
"150",3
"151",3
"152",2
"153",2
"154",4
"155",4
"156",4
"157",3
"158",3
"159",3
"160",3
"161",3
"162",3
"163",3
"164",3
"165",2
"166",4
"167",4
"168",3
"169",3
"170",3
"171",3
"172",3
"173",3
"174",3
"175",3
"176",3
"177",3
"178",3
"179",3
"180",3
"181",3
"182",3
"183",3
"184",3
"185",3
"186",3
"187",3
"188",3
"189",3
"190",3
"191",2
"192",2
"193",3
"194",3
"195",2
"196",2
"197",4
"198",4
"199",4
"200",3
"201",3
"202",3
"203",3
"204",3
"205",2
"206",2
"207",4
"208",4
"209",3
"210",3
"211",3
"212",3
"213",3
"214",3
"215",2
"216",2
"217",4
"218",3
"219",3
"220",3
"221",3
"222",3
"223",3
"224",3
"225",5
"226",3
"227",3
"228",3
"229",3
"230",3
"231",3
"232",3
"233",3
"234",3
"235",3
"236",3
"237",3
"238",3
"239",3
"240",3
"241",3
"242",3
"243",2
"244",2
"245",3
"246",3
"247",2
"248",2
"249",4
"250",4
"251",4
"252",3
"253",3
"254",3
"255",3
"256",2
"257",2
"258",4
"259",4
"260",3
"261",3
"262",3
"263",3
"264",3
"265",3
"266",3
"267",3
"268",3
"269",3
"270",2
"271",4
"272",4
"273",3
"274",3
"275",2
"276",3
"277",3
"278",3
"279",3
"280",3
"281",3
"282",3
"283",3
"284",3
"285",3
"286",3
"287",3
"288",2
"289",4
"290",3
"291",3
"292",2
"293",2
"294",3
"295",3
"296",3
"297",3
"298",3
"299",3
"300",3
"301",3
"302",3
"303",3
"304",2
"305",3
"306",3
"307",3
"308",4
"309",3
"310",3
"311",4
"312",3
"313",3
"314",3
"315",3
"316",2
"317",4
"318",4
"319",3
"320",3
"321",2
"322",3
"323",3
"324",3
"325",3
"326",3
"327",3
"328",3
"329",3
"330",3
"331",3
"332",3
"333",3
"334",3
"335",3
"336",3
"337",3
"338",3
"339",3
"340",3
"341",3
"342",3
"343",3
"344",3
"345",3
"346",3
"347",3
"348",3
"349",3
"350",3
"351",3
"352",3
"353",3
"354",3
"355",3
"356",3
"357",3
"358",3
"359",3
"360",3
"361",3
"362",3
"363",3
"364",3
"365",3
"366",3
"367",3
"368",3
"369",3
"370",3
"371",3
"372",3
"373",3
"374",3
"375",3
"376",3
"377",3
"378",4
"379",3
"380",3
"381",2
"382",4
"383",3
"384",3
"385",3
"386",3
"387",3
"388",4
"389",3
"390",3
"391",3
"392",3
"393",2
"394",4
"395",3
"396",3
"397",4
"398",4
"399",4
"400",3
"401",3
"402",3
"403",3
"404",3
"405",4
"406",4
"407",3
"408",4
"409",3
"410",3
"411",4
"412",3
"413",3
"414",3
"415",3
"416",3
"417",3
"418",4
"419",4
"420",4
"421",3
"422",4
"423",3
"424",3
"425",2
"426",4
"427",4
"428",3
"429",3
"430",2
"431",4
"432",4
"433",4
"434",3
"435",3
"436",2
"437",4
"438",4
"439",3
"440",3
"441",3
"442",4
"443",3
"444",3
"445",3
"446",4
"447",4
"448",3
"449",3
"450",3
"451",3
"452",3
"453",3
"454",3
"455",3
"456",3
"457",3
"458",3
"459",3
"460",3
"461",3
"462",3
"463",3
"464",3
"465",3
"466",3
"467",3
"468",3
"469",3
"470",3
"471",3
"472",3
"473",3
"474",3
"475",3
"476",3
"477",3
"478",3
"479",3
"480",3
"481",3
"482",3
"483",3
"484",3
"485",3
"486",3
"487",3
"488",3
"489",3
"490",3
"491",3
"492",3
"493",3
"494",3
"495",3
"496",3
"497",3
"498",3
"499",3
"500",3
"501",3
"502",3
"503",3
"504",3
"505",3
"506",3
"507",3
"508",3
"509",2
"510",3
"511",3
"512",3
"513",2
"514",3
"515",3
"516",3
"517",3
"518",3
"519",3
"520",4
"521",3
"522",3
"523",3
"524",3
"525",3
"526",3
"527",4
"528",3
"529",3
"530",3
"531",3
"532",3
"533",3
"534",3
"535",3
"536",3
"537",3
"538",3
"539",3
"540",3
"541",3
"542",3
"543",3
"544",3
"545",3
"546",3
"547",3
"548",3
"549",3
"550",3
"551",3
"552",3
"553",3
"554",3
"555",3
"556",3
"557",3
"558",3
"559",3
"560",3
"561",3
"562",3
"563",3
"564",3
"565",3
"566",4
"567",3
"568",3
"569",3
"570",3
"571",3
"572",3
"573",3
"574",3
"575",3
"576",3
"577",3
"578",3
"579",2
"580",3
"581",3
"582",3
"583",3
"584",3
"585",4
"586",4
"587",4
"588",4
"589",4
"590",4
"591",4
"592",4
"593",4
"594",4
"595",4
"596",4
"597",4
"598",4
"599",4
"600",4
"601",4
"602",4
"603",4
"604",4
"605",4
"606",4
"607",3
"608",3
