"","x"
"1",0.500981165513203
"2",0.634299466749723
"3",5
"4",4
"5",1
"6",6
"7",6
"8",1
"9",3
"10",5
"11",4
"12",6
"13",4
"14",6
"15",5
"16",1
"17",5
"18",4
"19",2
"20",5
"21",6
"22",2
"23",5
"24",6
"25",3
"26",2
"27",5
"28",6
"29",6
"30",2
"31",1
"32",2
"33",4
"34",6
"35",3
"36",5
"37",4
"38",5
"39",6
"40",3
"41",1
"42",2
"43",6
"44",1
"45",2
"46",6
"47",6
"48",3
"49",6
"50",4
"51",2
"52",6
"53",4
"54",1
"55",5
"56",6
"57",6
"58",2
"59",6
"60",6
"61",5
"62",4
"63",6
"64",2
"65",4
"66",5
"67",6
"68",2
"69",1
"70",5
"71",6
"72",3
"73",6
"74",2
"75",4
"76",3
"77",4
"78",4
"79",1
"80",6
"81",4
"82",5
"83",4
"84",1
"85",5
"86",1
"87",4
"88",4
"89",5
"90",6
"91",4
"92",4
"93",1
"94",5
"95",1
"96",6
"97",5
"98",6
"99",6
"100",6
"101",1
"102",1
"103",1
"104",4
"105",4
"106",4
"107",6
"108",5
"109",4
"110",5
"111",4
"112",6
"113",5
"114",4
"115",4
"116",5
"117",6
"118",6
"119",4
"120",4
"121",5
"122",4
"123",1
"124",4
"125",1
"126",6
"127",5
"128",4
"129",2
"130",1
"131",2
"132",3
"133",1
"134",3
"135",2
"136",2
"137",2
"138",2
"139",3
"140",3
"141",2
"142",2
"143",5
"144",5
"145",5
"146",3
"147",5
"148",2
"149",2
"150",2
"151",2
"152",2
"153",2
"154",3
"155",2
"156",3
"157",2
"158",2
"159",3
"160",2
"161",2
"162",2
"163",2
"164",2
"165",3
"166",4
"167",4
"168",4
"169",4
"170",4
"171",5
"172",5
"173",5
"174",1
"175",4
"176",2
"177",6
"178",4
"179",2
"180",3
"181",4
"182",5
"183",5
"184",5
"185",2
"186",2
"187",6
"188",4
"189",4
"190",4
"191",2
"192",1
"193",4
"194",4
"195",4
"196",6
"197",1
"198",2
"199",4
"200",6
"201",4
"202",4
"203",6
"204",4
"205",4
"206",4
"207",4
"208",5
"209",5
"210",5
"211",2
"212",2
"213",1
"214",5
"215",2
"216",1
"217",2
"218",3
"219",2
"220",4
"221",4
"222",5
"223",5
"224",1
"225",2
"226",2
"227",3
"228",6
"229",4
"230",6
"231",2
"232",2
"233",4
"234",4
"235",1
"236",4
"237",1
"238",2
"239",3
"240",2
"241",4
"242",1
"243",4
"244",4
"245",4
"246",6
"247",6
"248",4
"249",4
"250",4
"251",4
"252",2
"253",2
"254",5
"255",2
"256",5
"257",4
"258",4
"259",4
"260",1
"261",6
"262",4
"263",6
"264",5
"265",5
"266",5
"267",2
"268",2
"269",3
"270",5
"271",2
"272",2
"273",2
"274",6
"275",4
"276",5
"277",5
"278",2
"279",2
"280",2
"281",4
"282",4
"283",6
"284",4
"285",4
"286",1
"287",4
"288",4
"289",4
"290",4
"291",4
"292",4
"293",3
"294",4
"295",4
"296",6
"297",6
"298",1
"299",1
"300",6
"301",5
"302",5
"303",5
"304",1
"305",5
"306",2
"307",3
"308",4
"309",4
"310",1
"311",4
"312",6
"313",5
"314",5
"315",5
"316",2
"317",2
"318",2
"319",3
"320",2
"321",2
"322",4
"323",4
"324",5
"325",5
"326",5
"327",1
"328",2
"329",3
"330",4
"331",1
"332",6
"333",4
"334",4
"335",6
"336",4
"337",4
"338",2
"339",6
"340",4
"341",6
"342",2
"343",1
"344",4
"345",4
"346",4
"347",4
"348",6
"349",4
"350",4
"351",2
"352",5
"353",5
"354",4
"355",5
"356",5
"357",5
"358",5
"359",1
"360",2
"361",5
"362",4
"363",1
"364",1
"365",1
"366",5
"367",5
"368",5
"369",2
"370",2
"371",2
"372",2
"373",3
"374",3
"375",3
"376",4
"377",1
"378",4
"379",5
"380",5
"381",5
"382",5
"383",2
"384",3
"385",4
"386",1
"387",6
"388",4
"389",4
"390",4
"391",4
"392",4
"393",6
"394",4
"395",2
"396",2
"397",2
"398",6
"399",4
"400",4
"401",4
"402",6
"403",6
"404",4
"405",6
"406",6
"407",4
"408",5
"409",5
"410",5
"411",5
"412",6
"413",4
"414",6
"415",4
"416",4
"417",1
"418",5
"419",4
"420",4
"421",5
"422",5
"423",2
"424",2
"425",3
"426",1
"427",5
"428",6
"429",4
"430",6
"431",4
"432",6
"433",4
"434",1
"435",5
"436",5
"437",5
"438",2
"439",2
"440",5
"441",5
"442",2
"443",2
"444",2
"445",2
"446",3
"447",4
"448",4
"449",5
"450",5
"451",2
"452",2
"453",2
"454",2
"455",3
"456",3
"457",1
"458",4
"459",4
"460",4
"461",4
"462",4
"463",4
"464",2
"465",1
"466",2
"467",3
"468",4
"469",4
"470",6
"471",2
"472",1
"473",4
"474",4
"475",4
"476",4
"477",4
"478",4
"479",5
"480",5
"481",5
"482",6
"483",5
"484",1
"485",5
"486",5
"487",2
"488",6
"489",6
"490",6
"491",4
"492",5
"493",5
"494",5
"495",2
"496",3
"497",3
"498",6
"499",6
"500",1
"501",6
"502",6
"503",2
"504",6
"505",5
"506",2
"507",3
"508",4
"509",6
"510",6
"511",6
"512",1
"513",6
"514",6
"515",6
"516",6
"517",6
"518",6
"519",6
"520",5
"521",5
"522",5
"523",5
"524",6
"525",6
"526",6
"527",4
"528",4
"529",4
"530",6
"531",5
"532",5
"533",5
"534",5
"535",5
"536",2
"537",2
"538",5
"539",5
"540",1
"541",2
"542",2
"543",6
"544",1
"545",5
"546",5
"547",2
"548",1
"549",3
"550",2
"551",4
"552",4
"553",6
"554",6
"555",6
"556",6
"557",6
"558",1
"559",4
"560",2
"561",2
"562",3
"563",1
"564",4
"565",6
"566",6
"567",6
"568",6
"569",6
"570",6
"571",6
"572",6
"573",5
"574",5
"575",5
"576",5
"577",5
"578",4
"579",4
"580",1
"581",6
"582",6
"583",6
"584",6
"585",5
"586",5
"587",5
"588",5
"589",5
"590",2
"591",2
"592",5
"593",5
"594",2
"595",2
"596",3
"597",2
"598",6
"599",5
"600",5
"601",5
"602",2
"603",2
"604",3
"605",2
"606",6
"607",4
"608",6
"609",6
"610",6
"611",1
"612",6
"613",6
"614",6
"615",6
"616",3
"617",3
"618",4
"619",4
"620",6
"621",6
"622",6
"623",6
"624",6
"625",6
"626",5
"627",5
"628",6
"629",6
"630",1
"631",5
"632",5
"633",2
"634",2
"635",5
"636",6
"637",6
"638",1
"639",6
"640",6
"641",5
"642",5
"643",2
"644",2
"645",2
"646",2
"647",2
"648",2
"649",6
"650",6
"651",2
"652",6
"653",6
"654",5
"655",5
"656",5
"657",2
"658",2
"659",2
"660",6
"661",6
"662",6
"663",6
"664",6
"665",4
"666",6
"667",2
"668",2
"669",2
"670",6
"671",6
"672",6
"673",6
"674",4
"675",6
"676",6
"677",6
"678",4
"679",6
"680",1
"681",6
"682",5
"683",2
"684",5
"685",5
"686",6
"687",6
"688",6
"689",6
"690",4
"691",6
"692",6
"693",5
"694",5
"695",5
"696",2
"697",2
"698",3
"699",2
"700",2
"701",3
"702",6
"703",6
"704",5
"705",2
"706",5
"707",2
"708",2
"709",2
"710",6
"711",4
"712",6
"713",4
"714",6
"715",6
"716",5
"717",2
"718",2
"719",3
"720",6
"721",6
"722",6
"723",1
"724",6
"725",6
