"","x"
"1",0.316195437317099
"2",0.562831973529238
"3",1
"4",2
"5",3
"6",4
"7",3
"8",5
"9",6
"10",1
"11",7
"12",3
"13",8
"14",1
"15",9
"16",7
"17",5
"18",10
"19",9
"20",3
"21",3
"22",4
"23",3
"24",11
"25",10
"26",7
"27",1
"28",3
"29",5
"30",5
"31",11
"32",4
"33",11
"34",10
"35",11
"36",4
"37",3
"38",5
"39",1
"40",3
"41",5
"42",4
"43",3
"44",11
"45",1
"46",9
"47",3
"48",1
"49",1
"50",10
"51",1
"52",1
"53",3
"54",11
"55",10
"56",3
"57",7
"58",11
"59",2
"60",1
"61",2
"62",3
"63",1
"64",3
"65",3
"66",3
"67",3
"68",10
"69",7
"70",2
"71",9
"72",3
"73",6
"74",5
"75",2
"76",5
"77",1
"78",2
"79",11
"80",1
"81",4
"82",1
"83",1
"84",11
"85",4
"86",3
"87",2
"88",9
"89",8
"90",10
"91",10
"92",9
"93",11
"94",7
"95",10
"96",11
"97",3
"98",11
"99",10
"100",7
"101",10
"102",1
"103",11
"104",2
"105",3
"106",7
"107",10
"108",11
"109",7
"110",3
"111",6
"112",11
"113",9
"114",10
"115",4
"116",10
"117",11
"118",5
"119",3
"120",3
"121",10
"122",4
"123",10
"124",3
"125",10
"126",11
"127",2
"128",1
"129",3
"130",5
"131",5
"132",1
"133",10
"134",1
"135",5
"136",3
"137",6
"138",1
"139",3
"140",5
"141",3
"142",5
"143",4
"144",5
"145",3
"146",2
"147",10
"148",3
"149",5
"150",7
"151",4
"152",10
"153",8
"154",11
"155",5
"156",3
"157",1
"158",1
"159",10
"160",11
"161",1
"162",7
"163",7
"164",2
"165",7
"166",2
"167",4
"168",10
"169",3
"170",11
"171",11
"172",3
"173",10
"174",2
"175",3
"176",4
"177",5
"178",10
"179",4
"180",7
"181",10
"182",11
"183",5
"184",1
"185",5
"186",6
"187",11
"188",4
"189",9
"190",6
"191",10
"192",3
"193",3
"194",8
"195",3
"196",5
"197",11
"198",6
"199",4
"200",7
"201",3
"202",11
"203",10
"204",5
"205",3
"206",5
"207",11
"208",1
"209",5
"210",1
"211",9
"212",3
"213",1
"214",9
"215",5
"216",4
"217",10
"218",2
"219",5
"220",9
"221",8
"222",5
"223",1
"224",4
"225",11
"226",10
"227",5
"228",11
"229",3
"230",1
"231",2
"232",11
"233",7
"234",7
"235",7
"236",1
"237",10
"238",3
"239",2
"240",1
"241",10
"242",3
"243",1
"244",8
"245",5
"246",10
"247",10
"248",10
"249",4
"250",4
"251",10
"252",5
"253",9
"254",7
"255",9
"256",2
"257",3
"258",5
"259",7
"260",1
"261",5
"262",3
"263",7
"264",1
"265",2
"266",1
"267",11
"268",3
"269",2
"270",3
"271",1
"272",7
"273",2
"274",4
"275",1
"276",7
"277",1
"278",11
"279",1
"280",8
"281",11
"282",10
"283",8
"284",1
"285",6
"286",1
"287",2
"288",10
"289",11
"290",4
"291",3
"292",9
"293",4
"294",3
"295",9
"296",11
"297",11
"298",1
"299",10
"300",7
"301",3
"302",9
"303",1
"304",9
"305",10
"306",3
"307",4
"308",1
"309",2
"310",5
"311",10
"312",4
"313",9
"314",10
"315",11
"316",2
"317",2
"318",2
"319",7
"320",4
"321",9
"322",4
"323",9
"324",3
"325",6
"326",4
"327",1
"328",10
"329",7
"330",7
"331",1
"332",10
"333",1
"334",10
"335",7
"336",1
"337",9
"338",1
"339",10
"340",4
"341",4
"342",11
"343",1
"344",10
"345",11
"346",7
"347",5
"348",10
"349",5
"350",11
"351",3
"352",9
"353",1
"354",10
"355",7
"356",6
"357",4
"358",11
"359",3
"360",8
"361",7
"362",11
"363",3
"364",10
"365",3
"366",2
"367",1
"368",9
"369",3
"370",1
"371",4
"372",11
"373",9
"374",1
"375",10
"376",9
"377",10
"378",1
"379",9
"380",3
"381",11
"382",3
"383",5
"384",11
"385",5
"386",5
"387",3
"388",10
"389",4
"390",1
"391",9
"392",6
"393",11
"394",1
"395",11
"396",4
"397",9
"398",3
"399",6
"400",9
"401",11
"402",2
"403",1
"404",3
"405",4
"406",10
"407",9
"408",11
"409",4
"410",3
"411",10
"412",4
"413",4
"414",3
"415",2
"416",11
"417",3
"418",8
"419",10
"420",2
"421",9
"422",7
"423",4
"424",1
"425",11
"426",1
"427",10
"428",6
"429",11
"430",3
"431",11
"432",1
"433",10
"434",2
"435",6
"436",7
"437",11
"438",10
"439",2
"440",10
"441",9
"442",10
"443",4
"444",11
"445",7
"446",3
"447",6
"448",1
"449",6
"450",2
"451",10
"452",4
"453",6
"454",9
"455",5
"456",6
"457",4
"458",3
"459",6
"460",10
"461",4
"462",3
"463",9
"464",7
"465",1
"466",7
"467",6
"468",2
"469",4
"470",10
"471",6
"472",5
"473",4
"474",1
"475",10
"476",8
"477",1
"478",11
"479",9
"480",1
"481",9
"482",5
"483",1
"484",9
"485",4
"486",10
"487",5
"488",11
"489",11
"490",1
"491",10
"492",2
"493",11
"494",5
"495",10
"496",9
"497",1
"498",9
"499",11
"500",10
"501",10
"502",7
"503",11
"504",2
"505",3
"506",7
"507",10
"508",4
"509",1
"510",10
"511",7
"512",5
"513",9
"514",3
"515",1
"516",5
"517",9
"518",8
"519",7
"520",2
"521",7
"522",3
"523",3
"524",3
"525",10
"526",3
"527",3
"528",3
"529",10
"530",1
"531",2
"532",7
"533",1
"534",3
"535",4
"536",3
"537",8
"538",7
"539",3
"540",4
"541",3
"542",3
"543",3
"544",3
"545",3
"546",1
"547",10
"548",3
"549",3
"550",5
"551",3
"552",7
"553",4
"554",6
"555",2
"556",3
"557",3
"558",5
"559",3
"560",5
"561",1
"562",10
"563",4
"564",2
"565",7
"566",11
"567",3
"568",4
"569",3
"570",3
"571",3
"572",4
"573",7
"574",2
"575",4
"576",9
"577",4
"578",5
"579",2
"580",11
"581",9
"582",2
"583",3
"584",3
"585",7
"586",7
"587",3
"588",2
"589",1
"590",9
"591",4
"592",3
"593",7
"594",3
"595",3
"596",2
"597",4
"598",10
"599",4
"600",1
"601",1
"602",10
"603",10
"604",5
"605",3
"606",2
"607",9
"608",2
"609",4
"610",7
"611",4
"612",5
"613",4
"614",4
"615",8
"616",4
"617",4
"618",7
"619",4
"620",4
"621",7
"622",4
"623",7
"624",3
"625",3
"626",3
"627",3
"628",3
"629",3
"630",3
"631",3
"632",11
"633",3
"634",3
"635",3
"636",5
"637",3
"638",3
"639",10
"640",10
"641",9
"642",2
"643",3
"644",1
"645",2
