"","x"
"1",0.171393082030615
"2",0.378723711661203
"3",11
"4",5
"5",11
"6",1
"7",11
"8",5
"9",2
"10",11
"11",4
"12",5
"13",4
"14",10
"15",4
"16",2
"17",5
"18",2
"19",3
"20",8
"21",11
"22",1
"23",11
"24",5
"25",2
"26",3
"27",10
"28",11
"29",5
"30",2
"31",8
"32",9
"33",8
"34",5
"35",5
"36",4
"37",5
"38",5
"39",11
"40",11
"41",2
"42",4
"43",11
"44",5
"45",11
"46",4
"47",10
"48",11
"49",11
"50",5
"51",11
"52",11
"53",10
"54",5
"55",5
"56",11
"57",4
"58",5
"59",8
"60",11
"61",5
"62",5
"63",11
"64",11
"65",11
"66",5
"67",11
"68",5
"69",4
"70",10
"71",4
"72",11
"73",5
"74",5
"75",4
"76",5
"77",11
"78",5
"79",8
"80",11
"81",1
"82",11
"83",6
"84",5
"85",4
"86",11
"87",5
"88",4
"89",4
"90",5
"91",5
"92",4
"93",8
"94",4
"95",5
"96",9
"97",11
"98",5
"99",2
"100",5
"101",5
"102",10
"103",8
"104",5
"105",10
"106",9
"107",5
"108",8
"109",4
"110",11
"111",2
"112",4
"113",3
"114",5
"115",4
"116",5
"117",4
"118",2
"119",10
"120",5
"121",2
"122",1
"123",5
"124",11
"125",2
"126",8
"127",2
"128",11
"129",5
"130",5
"131",5
"132",11
"133",2
"134",11
"135",5
"136",11
"137",2
"138",11
"139",5
"140",5
"141",6
"142",5
"143",9
"144",2
"145",11
"146",8
"147",2
"148",10
"149",5
"150",4
"151",7
"152",2
"153",5
"154",2
"155",5
"156",6
"157",5
"158",11
"159",1
"160",8
"161",11
"162",4
"163",3
"164",8
"165",4
"166",1
"167",4
"168",2
"169",5
"170",5
"171",8
"172",5
"173",2
"174",5
"175",5
"176",3
"177",2
"178",5
"179",1
"180",4
"181",2
"182",2
"183",5
"184",11
"185",2
"186",8
"187",8
"188",4
"189",4
"190",5
"191",2
"192",10
"193",11
"194",8
"195",10
"196",5
"197",4
"198",2
"199",5
"200",4
"201",11
"202",8
"203",2
"204",5
"205",11
"206",5
"207",5
"208",11
"209",5
"210",6
"211",4
"212",11
"213",10
"214",4
"215",5
"216",2
"217",2
"218",6
"219",5
"220",4
"221",3
"222",5
"223",11
"224",1
"225",4
"226",2
"227",5
"228",8
"229",11
"230",11
"231",5
"232",8
"233",3
"234",3
"235",4
"236",11
"237",5
"238",11
"239",8
"240",11
"241",5
"242",11
"243",11
"244",4
"245",2
"246",5
"247",5
"248",2
"249",1
"250",4
"251",5
"252",5
"253",4
"254",4
"255",4
"256",5
"257",11
"258",5
"259",4
"260",11
"261",5
"262",5
"263",4
"264",11
"265",5
"266",10
"267",5
"268",11
"269",8
"270",11
"271",11
"272",4
"273",5
"274",1
"275",11
"276",4
"277",5
"278",5
"279",11
"280",4
"281",5
"282",5
"283",4
"284",11
"285",5
"286",5
"287",8
"288",2
"289",4
"290",4
"291",11
"292",1
"293",4
"294",6
"295",4
"296",5
"297",5
"298",11
"299",5
"300",4
"301",5
"302",4
"303",11
"304",4
"305",5
"306",11
"307",1
"308",11
"309",5
"310",5
"311",5
"312",3
"313",3
"314",5
"315",8
"316",5
"317",6
"318",5
"319",4
"320",1
"321",4
"322",1
"323",4
"324",11
"325",5
"326",1
"327",11
"328",5
"329",4
"330",4
"331",11
"332",5
"333",11
"334",5
"335",4
"336",11
"337",4
"338",11
"339",5
"340",1
"341",1
"342",4
"343",6
"344",5
"345",5
"346",3
"347",5
"348",2
"349",5
"350",4
"351",10
"352",4
"353",11
"354",2
"355",4
"356",5
"357",1
"358",8
"359",5
"360",4
"361",4
"362",8
"363",11
"364",5
"365",5
"366",5
"367",5
"368",3
"369",10
"370",10
"371",7
"372",5
"373",4
"374",11
"375",5
"376",4
"377",5
"378",11
"379",4
"380",10
"381",8
"382",11
"383",5
"384",8
"385",5
"386",5
"387",5
"388",5
"389",1
"390",11
"391",4
"392",5
"393",1
"394",5
"395",5
"396",2
"397",4
"398",11
"399",2
"400",4
"401",8
"402",8
"403",11
"404",5
"405",4
"406",5
"407",4
"408",5
"409",1
"410",5
"411",2
"412",1
"413",4
"414",11
"415",5
"416",5
"417",11
"418",4
"419",5
"420",5
"421",4
"422",4
"423",1
"424",11
"425",8
"426",11
"427",5
"428",5
"429",8
"430",5
"431",8
"432",11
"433",5
"434",8
"435",8
"436",4
"437",5
"438",5
"439",5
"440",5
"441",3
"442",2
"443",1
"444",5
"445",4
"446",11
"447",5
"448",11
"449",2
"450",5
"451",5
"452",5
"453",2
"454",4
"455",5
"456",2
"457",1
"458",11
"459",2
"460",5
"461",4
"462",5
"463",4
"464",4
"465",11
"466",4
"467",5
"468",8
"469",1
"470",2
"471",5
"472",5
"473",4
"474",11
"475",5
"476",4
"477",11
"478",1
"479",4
"480",6
"481",4
"482",5
"483",5
"484",4
"485",5
"486",5
"487",5
"488",5
"489",5
"490",11
"491",5
"492",5
"493",4
"494",5
"495",5
"496",4
"497",11
"498",4
"499",5
"500",5
"501",5
