"","x"
"1",0.491819464684602
"2",0.584405952793744
"3",3
"4",3
"5",4
"6",3
"7",3
"8",1
"9",4
"10",3
"11",3
"12",1
"13",1
"14",4
"15",1
"16",1
"17",1
"18",4
"19",1
"20",1
"21",3
"22",4
"23",3
"24",3
"25",1
"26",4
"27",1
"28",2
"29",3
"30",3
"31",4
"32",1
"33",3
"34",4
"35",1
"36",1
"37",3
"38",4
"39",3
"40",1
"41",3
"42",1
"43",1
"44",1
"45",3
"46",3
"47",1
"48",4
"49",1
"50",4
"51",1
"52",1
"53",1
"54",3
"55",3
"56",1
"57",4
"58",2
"59",3
"60",3
"61",3
"62",1
"63",2
"64",1
"65",2
"66",1
"67",3
"68",1
"69",1
"70",3
"71",4
"72",3
"73",3
"74",1
"75",1
"76",1
"77",1
"78",2
"79",1
"80",3
"81",3
"82",1
"83",1
"84",1
"85",1
"86",1
"87",1
"88",1
"89",2
"90",4
"91",3
"92",2
"93",4
"94",1
"95",4
"96",1
"97",4
"98",1
"99",1
"100",1
"101",3
"102",1
"103",1
"104",3
"105",1
"106",3
"107",3
"108",3
"109",3
"110",1
"111",1
"112",1
"113",3
"114",4
"115",1
"116",1
"117",1
"118",1
"119",1
"120",4
"121",1
"122",4
"123",1
"124",4
"125",1
"126",3
"127",3
"128",1
"129",3
"130",1
"131",1
"132",3
"133",3
"134",1
"135",3
"136",4
"137",3
"138",1
"139",1
"140",4
"141",1
"142",3
"143",3
"144",2
"145",3
"146",1
"147",3
"148",1
"149",1
"150",2
"151",3
"152",1
"153",1
"154",3
"155",3
"156",1
"157",1
"158",3
"159",1
"160",1
"161",3
"162",4
"163",3
"164",2
"165",3
"166",3
"167",1
"168",1
"169",1
"170",3
"171",1
"172",1
"173",3
"174",4
"175",3
"176",3
"177",4
"178",3
"179",3
"180",1
"181",3
"182",3
"183",1
"184",3
"185",1
"186",4
"187",1
"188",1
"189",2
"190",1
"191",1
"192",3
"193",2
"194",3
"195",1
"196",3
"197",1
"198",3
"199",1
"200",3
"201",1
"202",4
"203",4
"204",1
"205",1
"206",1
"207",4
"208",4
"209",3
"210",3
"211",1
"212",1
"213",3
"214",2
"215",4
"216",4
"217",1
"218",1
"219",1
"220",2
"221",1
"222",1
"223",1
"224",3
"225",1
"226",1
"227",1
"228",1
"229",3
"230",1
"231",3
"232",3
"233",1
"234",1
"235",3
"236",1
"237",1
"238",3
"239",1
"240",1
"241",1
"242",3
"243",3
"244",3
"245",3
"246",3
"247",3
"248",4
"249",1
"250",3
"251",4
"252",3
"253",4
"254",4
"255",3
"256",3
"257",3
"258",3
"259",1
"260",1
"261",1
"262",1
"263",3
"264",1
"265",1
"266",3
"267",1
"268",1
"269",1
"270",1
"271",1
"272",3
"273",3
"274",3
"275",1
"276",3
"277",1
"278",4
"279",1
"280",3
"281",1
"282",4
"283",3
"284",3
"285",1
"286",1
"287",3
"288",1
"289",1
"290",3
"291",2
"292",3
"293",1
"294",1
"295",3
"296",3
"297",4
"298",1
"299",2
"300",3
"301",3
"302",1
"303",3
"304",1
"305",1
"306",1
"307",1
"308",3
"309",3
"310",1
"311",1
"312",3
"313",1
"314",3
"315",3
"316",3
"317",3
"318",3
"319",3
"320",1
"321",1
"322",1
"323",3
"324",3
"325",4
"326",4
"327",3
"328",1
"329",1
"330",3
"331",1
"332",3
"333",1
"334",3
"335",1
"336",1
"337",1
"338",4
"339",1
"340",1
"341",3
"342",3
"343",3
"344",3
"345",4
"346",3
"347",3
"348",3
"349",3
"350",3
"351",1
"352",3
"353",3
"354",4
"355",3
"356",3
"357",1
"358",1
"359",3
"360",3
"361",4
"362",3
"363",3
"364",3
"365",1
"366",1
"367",3
"368",1
"369",4
"370",1
"371",3
"372",1
"373",3
"374",1
"375",1
"376",3
"377",4
"378",1
"379",1
"380",1
"381",1
"382",3
"383",3
"384",3
"385",3
"386",3
"387",4
"388",1
"389",1
"390",1
"391",3
"392",1
"393",3
"394",1
"395",3
"396",1
"397",3
"398",3
"399",3
"400",1
"401",1
"402",1
"403",1
"404",1
"405",1
"406",3
"407",1
"408",1
"409",3
"410",3
"411",4
"412",4
"413",3
"414",3
"415",3
"416",1
"417",1
"418",3
"419",4
"420",3
"421",1
"422",4
"423",1
"424",1
"425",3
"426",1
"427",1
"428",1
"429",4
"430",1
"431",3
"432",1
"433",3
"434",1
"435",1
"436",1
"437",3
"438",1
"439",3
"440",3
"441",3
"442",1
"443",3
"444",1
"445",3
"446",3
"447",4
"448",1
"449",3
"450",1
"451",3
"452",4
"453",3
"454",1
"455",1
"456",1
"457",1
"458",3
"459",1
"460",1
"461",3
"462",1
"463",4
"464",1
"465",1
"466",3
"467",1
"468",1
"469",3
"470",3
"471",3
"472",1
"473",1
"474",1
"475",1
"476",4
"477",3
"478",3
"479",3
"480",1
"481",4
"482",1
"483",1
"484",1
"485",3
"486",3
"487",1
"488",1
"489",3
"490",3
"491",4
"492",1
"493",1
"494",1
"495",3
"496",3
"497",3
"498",1
"499",3
"500",1
"501",2
"502",1
"503",1
"504",2
"505",1
"506",1
"507",1
"508",1
"509",2
"510",4
"511",1
"512",2
"513",2
"514",1
"515",2
"516",3
"517",2
"518",2
"519",1
"520",1
"521",3
"522",2
"523",2
"524",2
"525",2
"526",4
"527",1
"528",1
"529",2
"530",2
"531",2
"532",2
"533",3
"534",1
"535",2
"536",2
"537",1
"538",3
"539",1
"540",1
"541",1
"542",1
"543",1
"544",2
"545",3
"546",1
"547",2
"548",1
"549",3
"550",2
"551",3
"552",2
"553",2
"554",3
"555",4
"556",2
"557",1
"558",1
"559",3
"560",3
"561",3
"562",1
"563",1
"564",2
"565",1
"566",1
"567",2
"568",3
"569",4
"570",1
"571",1
"572",1
"573",1
"574",1
"575",1
"576",1
"577",1
"578",1
"579",3
"580",1
"581",3
"582",3
"583",1
"584",2
"585",2
"586",2
"587",2
"588",3
"589",1
"590",3
"591",1
"592",1
"593",1
"594",2
"595",1
"596",3
"597",3
"598",2
"599",2
"600",3
"601",2
"602",3
"603",2
"604",3
"605",1
"606",2
"607",2
"608",1
"609",1
"610",1
"611",1
"612",1
"613",1
"614",3
"615",1
"616",3
"617",3
"618",3
"619",1
"620",3
"621",3
"622",2
"623",2
"624",1
"625",2
"626",2
"627",1
"628",3
"629",1
"630",2
"631",3
"632",1
"633",2
"634",2
"635",1
"636",1
"637",1
"638",2
"639",3
"640",1
"641",2
"642",1
"643",4
"644",1
"645",1
"646",1
"647",2
"648",3
"649",3
"650",1
"651",3
"652",1
"653",2
"654",1
"655",2
"656",2
"657",1
"658",3
"659",1
"660",1
"661",3
"662",2
"663",2
"664",1
"665",3
"666",3
"667",2
"668",1
"669",1
"670",1
"671",1
"672",3
"673",4
"674",1
"675",3
"676",1
"677",1
"678",3
"679",2
"680",1
"681",2
"682",3
"683",1
"684",3
"685",1
"686",1
"687",3
"688",2
"689",1
"690",1
"691",2
"692",3
"693",3
"694",1
"695",2
"696",1
"697",1
"698",3
"699",2
"700",2
"701",1
"702",3
"703",1
"704",1
"705",2
"706",1
"707",2
"708",1
"709",2
"710",2
"711",3
"712",4
"713",2
"714",1
"715",2
"716",1
"717",1
"718",3
"719",3
"720",3
"721",3
"722",2
"723",2
"724",1
"725",1
"726",3
"727",2
"728",4
"729",1
"730",1
"731",2
"732",3
"733",1
"734",1
"735",3
"736",2
"737",3
"738",1
"739",2
"740",1
"741",1
"742",3
"743",2
"744",3
"745",1
"746",1
"747",1
"748",1
"749",1
"750",1
"751",2
"752",1
"753",2
"754",3
"755",2
"756",1
"757",1
"758",2
"759",1
"760",3
"761",1
"762",3
"763",1
"764",1
"765",3
"766",3
"767",1
"768",3
"769",2
"770",2
"771",1
"772",3
"773",2
"774",1
"775",3
"776",1
"777",3
"778",1
"779",2
"780",1
"781",2
"782",1
"783",3
"784",1
"785",1
"786",3
"787",1
"788",1
"789",1
"790",3
"791",3
"792",3
"793",2
"794",1
"795",1
"796",1
"797",2
"798",3
"799",2
"800",3
"801",3
"802",1
"803",1
"804",1
"805",2
"806",1
"807",3
"808",1
"809",2
"810",1
"811",4
"812",1
"813",1
"814",1
"815",2
"816",1
"817",2
"818",2
"819",3
"820",1
"821",1
"822",1
"823",1
"824",3
"825",3
"826",4
"827",3
"828",3
"829",1
"830",3
"831",3
"832",3
"833",1
"834",3
"835",3
"836",1
"837",1
"838",3
"839",3
"840",2
"841",1
"842",2
"843",3
"844",4
"845",3
"846",2
"847",1
"848",2
"849",2
"850",2
"851",3
"852",2
"853",1
"854",1
"855",3
"856",1
"857",3
"858",2
"859",1
"860",3
"861",1
"862",2
"863",3
"864",2
"865",2
"866",3
"867",1
"868",3
"869",2
"870",3
"871",2
"872",3
"873",2
"874",3
"875",2
"876",1
"877",1
"878",1
"879",1
"880",3
"881",3
"882",4
"883",3
"884",3
"885",1
"886",1
"887",3
"888",4
"889",3
"890",1
"891",3
"892",1
"893",2
"894",1
"895",1
"896",3
"897",1
"898",3
"899",3
"900",3
"901",2
"902",3
"903",3
"904",2
"905",3
"906",2
"907",1
"908",2
"909",3
"910",2
"911",3
"912",3
"913",3
"914",4
"915",1
"916",3
"917",1
"918",1
"919",3
"920",3
"921",3
"922",4
"923",2
"924",4
"925",1
"926",1
"927",1
"928",3
"929",1
"930",3
"931",1
"932",1
"933",1
"934",3
"935",1
"936",1
"937",3
"938",1
"939",4
"940",1
"941",1
"942",3
"943",1
"944",3
"945",3
"946",4
"947",4
"948",2
"949",3
"950",4
"951",1
"952",3
"953",1
"954",2
"955",1
"956",3
"957",1
"958",2
"959",2
"960",3
"961",1
"962",3
"963",3
"964",3
"965",1
"966",1
"967",2
"968",2
"969",3
"970",2
"971",2
"972",1
"973",1
"974",2
"975",3
"976",3
"977",3
"978",1
"979",2
"980",1
"981",3
"982",1
"983",2
"984",3
"985",4
"986",1
"987",2
"988",1
"989",1
"990",3
"991",1
"992",1
"993",1
"994",3
"995",4
"996",3
"997",3
"998",2
"999",1
"1000",1
"1001",1
"1002",1
"1003",1
"1004",1
"1005",3
"1006",4
"1007",2
"1008",3
"1009",3
"1010",1
"1011",3
"1012",4
"1013",4
"1014",1
"1015",4
"1016",3
"1017",1
"1018",3
"1019",3
"1020",1
"1021",3
"1022",1
"1023",2
"1024",1
"1025",1
"1026",3
"1027",3
"1028",4
"1029",1
"1030",3
"1031",2
"1032",4
"1033",4
"1034",3
"1035",3
"1036",1
"1037",1
"1038",1
"1039",3
"1040",1
"1041",3
"1042",1
"1043",3
"1044",1
"1045",3
"1046",2
"1047",1
"1048",3
"1049",4
"1050",2
"1051",3
"1052",2
"1053",1
"1054",1
"1055",1
"1056",2
"1057",2
"1058",3
"1059",1
"1060",4
"1061",3
"1062",1
"1063",3
"1064",1
"1065",3
"1066",2
"1067",3
"1068",3
"1069",1
"1070",3
"1071",1
"1072",2
"1073",4
"1074",1
"1075",1
"1076",2
"1077",4
"1078",1
"1079",2
"1080",3
"1081",4
"1082",1
"1083",2
"1084",1
"1085",4
"1086",2
"1087",2
"1088",1
"1089",2
"1090",2
"1091",1
"1092",1
"1093",1
"1094",1
"1095",4
"1096",1
"1097",1
"1098",2
"1099",1
"1100",1
"1101",1
"1102",1
"1103",1
"1104",1
"1105",3
"1106",1
"1107",1
"1108",3
"1109",1
"1110",1
"1111",1
"1112",2
"1113",2
"1114",1
"1115",2
"1116",3
"1117",3
"1118",1
"1119",3
"1120",2
"1121",2
"1122",1
"1123",2
"1124",1
"1125",1
"1126",1
"1127",2
"1128",1
"1129",1
"1130",1
"1131",3
"1132",2
"1133",3
"1134",1
"1135",1
"1136",3
"1137",1
"1138",1
"1139",2
"1140",3
"1141",2
"1142",3
"1143",1
"1144",4
"1145",1
"1146",2
"1147",3
"1148",3
"1149",4
"1150",2
"1151",1
"1152",4
"1153",1
"1154",2
"1155",1
"1156",1
"1157",2
"1158",2
"1159",3
"1160",3
"1161",1
"1162",2
"1163",3
"1164",1
"1165",1
"1166",1
"1167",1
"1168",1
"1169",2
"1170",4
"1171",4
"1172",3
"1173",1
"1174",2
"1175",4
"1176",2
"1177",1
"1178",4
"1179",4
"1180",1
"1181",4
"1182",4
"1183",3
"1184",3
"1185",1
"1186",1
"1187",1
"1188",1
"1189",1
"1190",1
"1191",4
"1192",3
"1193",1
"1194",3
"1195",1
"1196",1
"1197",1
"1198",1
"1199",1
"1200",2
"1201",3
"1202",2
"1203",3
"1204",1
"1205",4
"1206",1
"1207",1
"1208",2
"1209",1
"1210",3
"1211",2
"1212",1
"1213",1
"1214",1
"1215",2
"1216",4
"1217",3
"1218",4
"1219",1
"1220",2
"1221",4
"1222",4
"1223",1
"1224",1
"1225",2
"1226",1
"1227",3
"1228",2
"1229",2
"1230",4
"1231",3
"1232",1
"1233",2
"1234",2
"1235",2
"1236",2
"1237",2
"1238",2
"1239",1
"1240",1
"1241",1
"1242",3
"1243",2
"1244",2
"1245",3
"1246",3
"1247",3
"1248",1
"1249",4
"1250",3
"1251",3
