"","x"
"1",0.393197579527751
"2",0.476168370596116
"3",4
"4",4
"5",3
"6",1
"7",4
"8",2
"9",3
"10",4
"11",4
"12",2
"13",2
"14",3
"15",2
"16",2
"17",2
"18",3
"19",2
"20",2
"21",1
"22",3
"23",1
"24",4
"25",2
"26",3
"27",2
"28",2
"29",4
"30",4
"31",3
"32",2
"33",4
"34",3
"35",2
"36",2
"37",4
"38",3
"39",4
"40",2
"41",3
"42",2
"43",2
"44",2
"45",1
"46",4
"47",2
"48",3
"49",2
"50",3
"51",2
"52",2
"53",2
"54",4
"55",3
"56",4
"57",3
"58",4
"59",3
"60",4
"61",4
"62",2
"63",4
"64",2
"65",2
"66",2
"67",4
"68",2
"69",2
"70",4
"71",3
"72",1
"73",3
"74",2
"75",2
"76",2
"77",2
"78",2
"79",2
"80",4
"81",1
"82",2
"83",2
"84",2
"85",2
"86",2
"87",2
"88",2
"89",2
"90",3
"91",1
"92",4
"93",3
"94",2
"95",3
"96",2
"97",3
"98",2
"99",2
"100",2
"101",2
"102",2
"103",2
"104",1
"105",2
"106",4
"107",4
"108",4
"109",1
"110",2
"111",2
"112",2
"113",1
"114",3
"115",2
"116",2
"117",2
"118",2
"119",2
"120",3
"121",2
"122",3
"123",2
"124",3
"125",2
"126",4
"127",4
"128",2
"129",4
"130",2
"131",2
"132",1
"133",4
"134",2
"135",4
"136",3
"137",4
"138",2
"139",2
"140",3
"141",2
"142",4
"143",3
"144",2
"145",4
"146",2
"147",1
"148",2
"149",2
"150",4
"151",3
"152",2
"153",2
"154",4
"155",4
"156",2
"157",2
"158",4
"159",2
"160",2
"161",4
"162",3
"163",4
"164",2
"165",4
"166",4
"167",2
"168",2
"169",2
"170",4
"171",2
"172",2
"173",4
"174",3
"175",4
"176",4
"177",3
"178",4
"179",4
"180",2
"181",4
"182",4
"183",2
"184",4
"185",2
"186",3
"187",2
"188",2
"189",4
"190",2
"191",2
"192",4
"193",4
"194",1
"195",2
"196",4
"197",2
"198",4
"199",2
"200",4
"201",2
"202",3
"203",3
"204",2
"205",2
"206",4
"207",3
"208",3
"209",4
"210",1
"211",2
"212",2
"213",4
"214",2
"215",3
"216",3
"217",2
"218",2
"219",2
"220",2
"221",2
"222",2
"223",2
"224",4
"225",2
"226",2
"227",2
"228",2
"229",4
"230",2
"231",4
"232",4
"233",2
"234",2
"235",4
"236",2
"237",2
"238",1
"239",2
"240",2
"241",2
"242",4
"243",4
"244",4
"245",4
"246",4
"247",3
"248",3
"249",2
"250",4
"251",3
"252",1
"253",3
"254",3
"255",4
"256",4
"257",4
"258",4
"259",2
"260",2
"261",2
"262",2
"263",4
"264",2
"265",2
"266",4
"267",2
"268",2
"269",2
"270",2
"271",2
"272",1
"273",4
"274",1
"275",2
"276",4
"277",2
"278",3
"279",2
"280",4
"281",2
"282",3
"283",4
"284",4
"285",2
"286",2
"287",1
"288",2
"289",2
"290",4
"291",4
"292",4
"293",2
"294",2
"295",4
"296",3
"297",3
"298",2
"299",4
"300",4
"301",4
"302",2
"303",4
"304",2
"305",2
"306",2
"307",2
"308",4
"309",4
"310",2
"311",2
"312",1
"313",2
"314",4
"315",4
"316",4
"317",4
"318",4
"319",4
"320",2
"321",2
"322",2
"323",4
"324",4
"325",3
"326",3
"327",4
"328",2
"329",2
"330",4
"331",2
"332",4
"333",2
"334",4
"335",2
"336",2
"337",2
"338",3
"339",2
"340",2
"341",4
"342",4
"343",1
"344",4
"345",3
"346",4
"347",3
"348",4
"349",4
"350",4
"351",2
"352",4
"353",4
"354",3
"355",3
"356",4
"357",2
"358",2
"359",4
"360",4
"361",3
"362",4
"363",4
"364",4
"365",2
"366",2
"367",1
"368",2
"369",3
"370",2
"371",4
"372",2
"373",4
"374",2
"375",2
"376",4
"377",3
"378",2
"379",2
"380",2
"381",2
"382",4
"383",4
"384",4
"385",4
"386",4
"387",3
"388",2
"389",2
"390",2
"391",4
"392",2
"393",4
"394",2
"395",4
"396",2
"397",4
"398",1
"399",4
"400",2
"401",2
"402",2
"403",2
"404",2
"405",2
"406",4
"407",2
"408",2
"409",3
"410",4
"411",3
"412",3
"413",3
"414",3
"415",4
"416",2
"417",2
"418",4
"419",3
"420",4
"421",2
"422",3
"423",2
"424",2
"425",4
"426",2
"427",2
"428",2
"429",3
"430",2
"431",4
"432",2
"433",1
"434",2
"435",2
"436",2
"437",1
"438",2
"439",4
"440",2
"441",1
"442",2
"443",4
"444",2
"445",4
"446",3
"447",3
"448",2
"449",4
"450",2
"451",4
"452",3
"453",4
"454",2
"455",2
"456",2
"457",2
"458",4
"459",2
"460",2
"461",4
"462",2
"463",3
"464",2
"465",2
"466",1
"467",2
"468",2
"469",4
"470",4
"471",4
"472",2
"473",2
"474",2
"475",2
"476",3
"477",4
"478",4
"479",4
"480",2
"481",3
"482",2
"483",2
"484",2
"485",4
"486",1
"487",2
"488",2
"489",4
"490",4
"491",3
"492",2
"493",2
"494",2
"495",4
"496",4
"497",4
"498",2
"499",4
"500",2
"501",4
"502",2
"503",2
