"","x"
"1",0.265566457617633
"2",0.45707939736122
"3",1
"4",2
"5",3
"6",1
"7",2
"8",1
"9",1
"10",1
"11",3
"12",1
"13",1
"14",2
"15",2
"16",1
"17",1
"18",2
"19",1
"20",2
"21",1
"22",1
"23",3
"24",3
"25",1
"26",2
"27",2
"28",2
"29",1
"30",2
"31",1
"32",1
"33",1
"34",1
"35",2
"36",3
"37",2
"38",2
"39",2
"40",2
"41",2
"42",1
"43",2
"44",1
"45",1
"46",2
"47",1
"48",1
"49",1
"50",1
"51",1
"52",3
"53",1
"54",1
"55",2
"56",2
"57",2
"58",1
"59",1
"60",2
"61",1
"62",3
"63",2
"64",1
"65",1
"66",1
"67",2
"68",1
"69",1
"70",1
"71",1
"72",2
"73",2
"74",2
"75",1
"76",1
"77",1
"78",1
"79",3
"80",1
"81",2
"82",1
"83",1
"84",2
"85",4
"86",2
"87",2
"88",1
"89",5
"90",2
"91",2
"92",3
"93",1
"94",1
"95",3
"96",3
"97",1
"98",1
"99",2
"100",1
"101",2
"102",1
"103",5
"104",1
"105",1
"106",2
"107",5
"108",2
"109",1
"110",1
"111",2
"112",2
"113",3
"114",1
"115",2
"116",3
"117",2
"118",1
"119",1
"120",2
"121",2
"122",1
"123",2
"124",1
"125",2
"126",1
"127",2
"128",1
"129",2
"130",1
"131",2
"132",1
"133",2
"134",2
"135",2
"136",1
"137",1
"138",3
"139",2
"140",2
"141",1
"142",2
"143",2
"144",1
"145",2
"146",1
"147",1
"148",2
"149",1
"150",1
"151",1
"152",2
"153",5
"154",1
"155",1
"156",2
"157",2
"158",2
"159",1
"160",2
"161",1
"162",1
"163",2
"164",2
"165",1
"166",1
"167",2
"168",2
"169",3
"170",2
"171",2
"172",1
"173",2
"174",1
"175",2
"176",3
"177",1
"178",1
"179",1
"180",1
"181",3
"182",1
"183",3
"184",1
"185",2
"186",1
"187",2
"188",3
"189",1
"190",1
"191",2
"192",3
"193",1
"194",2
"195",2
"196",4
"197",1
"198",1
"199",2
"200",1
"201",3
"202",2
"203",3
"204",1
"205",2
"206",1
"207",1
"208",1
"209",3
"210",1
"211",3
"212",1
"213",2
"214",2
"215",6
"216",1
"217",3
"218",2
"219",3
"220",4
"221",1
"222",1
"223",2
