"","x"
"1",0.721698285009048
"2",0.702939335633771
"3",1
"4",1
"5",2
"6",1
"7",3
"8",2
"9",4
"10",2
"11",3
"12",1
"13",2
"14",4
"15",2
"16",2
"17",4
"18",2
"19",1
"20",2
"21",2
"22",4
"23",3
"24",3
"25",2
"26",4
"27",2
"28",4
"29",4
"30",4
"31",2
"32",1
"33",2
"34",4
"35",2
"36",4
"37",2
"38",4
"39",4
"40",3
"41",4
"42",1
"43",1
"44",1
"45",4
"46",4
"47",3
"48",4
"49",4
"50",4
"51",1
"52",1
"53",1
"54",1
"55",1
"56",1
"57",4
"58",1
"59",1
"60",1
"61",2
"62",1
"63",2
"64",3
"65",4
"66",4
"67",2
"68",2
"69",2
"70",4
"71",1
"72",2
"73",2
"74",1
"75",3
"76",4
"77",4
"78",2
"79",4
"80",4
"81",4
"82",1
"83",2
"84",3
"85",4
"86",4
"87",4
"88",4
"89",4
"90",1
"91",1
"92",4
"93",4
"94",1
"95",2
"96",2
"97",4
"98",2
"99",2
"100",4
"101",1
"102",4
"103",1
"104",2
"105",1
"106",2
"107",2
"108",3
"109",4
"110",2
"111",1
"112",2
"113",4
"114",4
"115",1
"116",1
"117",4
"118",1
"119",4
"120",2
"121",1
"122",4
"123",2
"124",2
"125",2
"126",4
"127",1
"128",1
"129",4
"130",4
"131",3
"132",1
"133",1
"134",4
"135",3
"136",2
"137",2
"138",1
"139",2
"140",1
"141",2
"142",1
"143",3
"144",1
"145",1
"146",4
"147",1
"148",2
"149",4
"150",1
"151",1
"152",1
"153",2
"154",1
"155",1
"156",1
"157",2
"158",4
"159",4
"160",4
"161",1
"162",2
"163",4
"164",2
"165",4
"166",1
"167",1
"168",1
"169",1
"170",2
"171",4
"172",4
"173",2
"174",2
"175",2
"176",4
"177",4
"178",1
"179",4
"180",2
"181",2
"182",3
"183",4
"184",2
"185",4
"186",3
"187",1
"188",4
"189",1
"190",1
"191",1
"192",4
"193",4
"194",2
"195",4
"196",4
"197",2
"198",1
"199",1
"200",3
"201",1
"202",4
"203",1
"204",4
"205",1
"206",4
"207",1
"208",4
"209",4
"210",2
"211",1
"212",2
"213",1
"214",4
"215",1
"216",1
"217",1
"218",2
"219",4
"220",3
"221",2
"222",1
"223",2
"224",2
"225",2
"226",4
"227",1
"228",4
"229",1
"230",1
"231",1
"232",1
"233",2
"234",1
"235",4
"236",2
"237",2
"238",1
"239",2
"240",3
"241",4
"242",2
"243",1
"244",3
"245",2
"246",4
"247",1
"248",2
"249",2
"250",1
"251",1
"252",1
"253",4
"254",4
"255",2
"256",1
"257",4
"258",4
"259",1
"260",1
"261",2
"262",4
"263",1
"264",4
"265",1
"266",4
"267",3
"268",4
"269",4
"270",1
"271",4
"272",4
"273",4
"274",4
"275",2
"276",1
"277",4
"278",2
"279",2
"280",1
"281",2
"282",1
"283",1
"284",1
"285",1
"286",1
"287",3
"288",2
"289",2
"290",4
"291",1
"292",2
"293",1
"294",2
"295",4
"296",3
"297",1
"298",1
"299",2
"300",4
"301",2
"302",2
"303",4
"304",2
"305",4
"306",2
"307",2
"308",4
"309",2
"310",4
"311",3
"312",4
"313",4
"314",1
"315",2
"316",2
"317",2
"318",3
"319",4
"320",4
"321",2
"322",4
"323",2
"324",2
"325",2
"326",4
"327",2
"328",4
"329",2
"330",2
"331",2
"332",4
"333",1
"334",1
"335",2
"336",2
"337",1
"338",1
"339",2
"340",1
"341",2
"342",4
"343",2
"344",2
"345",4
"346",1
"347",2
"348",4
"349",2
"350",4
"351",2
"352",4
"353",4
"354",1
"355",2
"356",1
"357",1
"358",1
"359",4
"360",4
"361",4
"362",4
"363",1
"364",1
"365",2
"366",1
"367",2
"368",2
"369",1
"370",4
"371",4
"372",4
"373",4
"374",1
"375",2
"376",1
"377",1
"378",1
"379",1
"380",1
"381",4
"382",3
"383",2
"384",1
"385",4
"386",1
"387",4
"388",2
"389",4
"390",3
"391",4
"392",4
"393",1
"394",1
"395",4
"396",4
"397",3
"398",2
"399",4
"400",1
"401",3
"402",1
"403",2
"404",1
"405",1
"406",2
"407",2
"408",2
"409",3
"410",4
"411",4
"412",1
"413",1
"414",3
"415",4
"416",4
"417",1
"418",4
"419",1
"420",2
"421",4
"422",2
"423",4
"424",2
"425",4
"426",4
"427",4
"428",2
"429",1
"430",4
"431",1
"432",4
"433",4
"434",1
"435",1
"436",1
"437",1
"438",4
"439",2
"440",4
"441",1
"442",4
"443",1
"444",4
"445",2
"446",3
"447",2
"448",2
"449",4
"450",4
"451",2
"452",1
"453",1
"454",2
"455",2
"456",3
"457",1
"458",2
"459",4
"460",2
"461",4
"462",1
"463",4
"464",4
"465",3
"466",4
"467",1
"468",4
"469",1
"470",1
"471",1
"472",1
"473",1
"474",1
"475",1
"476",1
"477",2
"478",4
"479",3
"480",2
"481",2
"482",4
"483",1
"484",2
"485",4
"486",1
"487",1
"488",2
"489",1
"490",4
"491",2
"492",4
"493",4
"494",1
