"","x"
"1",0.640242069899758
"2",0.603731117713348
"3",3
"4",4
"5",2
"6",3
"7",2
"8",3
"9",1
"10",2
"11",1
"12",3
"13",2
"14",1
"15",3
"16",2
"17",1
"18",2
"19",3
"20",2
"21",2
"22",2
"23",1
"24",1
"25",2
"26",1
"27",2
"28",1
"29",1
"30",1
"31",2
"32",3
"33",2
"34",1
"35",2
"36",1
"37",3
"38",1
"39",1
"40",2
"41",1
"42",3
"43",3
"44",2
"45",1
"46",1
"47",1
"48",4
"49",1
"50",1
"51",3
"52",3
"53",3
"54",3
"55",3
"56",3
"57",2
"58",4
"59",3
"60",3
"61",2
"62",3
"63",2
"64",2
"65",1
"66",2
"67",4
"68",2
"69",2
"70",1
"71",3
"72",2
"73",2
"74",3
"75",1
"76",1
"77",2
"78",3
"79",1
"80",1
"81",1
"82",3
"83",2
"84",2
"85",1
"86",1
"87",4
"88",2
"89",1
"90",3
"91",4
"92",1
"93",1
"94",3
"95",2
"96",2
"97",1
"98",2
"99",2
"100",1
"101",3
"102",1
"103",3
"104",2
"105",3
"106",2
"107",3
"108",2
"109",1
"110",2
"111",3
"112",2
"113",1
"114",1
"115",3
"116",3
"117",1
"118",3
"119",1
"120",2
"121",3
"122",1
"123",2
"124",2
"125",4
"126",1
"127",3
"128",3
"129",1
"130",1
"131",2
"132",3
"133",3
"134",1
"135",2
"136",3
"137",2
"138",3
"139",2
"140",3
"141",2
"142",2
"143",2
"144",3
"145",3
"146",1
"147",3
"148",2
"149",1
"150",3
"151",3
"152",3
"153",2
"154",2
"155",2
"156",4
"157",2
"158",1
"159",1
"160",1
"161",3
"162",4
"163",1
"164",2
"165",1
"166",3
"167",3
"168",3
"169",3
"170",2
"171",1
"172",1
"173",2
"174",4
"175",2
"176",1
"177",1
"178",3
"179",1
"180",2
"181",3
"182",2
"183",1
"184",2
"185",1
"186",1
"187",3
"188",1
"189",3
"190",3
"191",3
"192",1
"193",1
"194",2
"195",1
"196",1
"197",2
"198",3
"199",3
"200",1
"201",3
"202",1
"203",3
"204",1
"205",3
"206",1
"207",3
"208",1
"209",1
"210",2
"211",3
"212",2
"213",2
"214",1
"215",3
"216",3
"217",3
"218",2
"219",1
"220",2
"221",2
"222",3
"223",2
"224",2
"225",2
"226",1
"227",3
"228",1
"229",3
"230",3
"231",3
"232",4
"233",3
"234",3
"235",1
"236",2
"237",2
"238",3
"239",2
"240",2
"241",1
"242",2
"243",3
"244",2
"245",2
"246",1
"247",3
"248",2
"249",2
"250",3
"251",3
"252",4
"253",4
"254",1
"255",2
"256",3
"257",1
"258",1
"259",3
"260",3
"261",2
"262",1
"263",3
"264",1
"265",2
"266",1
"267",1
"268",1
"269",1
"270",3
"271",1
"272",1
"273",4
"274",1
"275",2
"276",3
"277",1
"278",2
"279",2
"280",3
"281",2
"282",3
"283",3
"284",3
"285",3
"286",3
"287",1
"288",3
"289",2
"290",1
"291",3
"292",3
"293",3
"294",2
"295",1
"296",1
"297",3
"298",3
"299",2
"300",1
"301",2
"302",2
"303",1
"304",2
"305",1
"306",2
"307",2
"308",1
"309",2
"310",1
"311",2
"312",1
"313",1
"314",2
"315",2
"316",2
"317",2
"318",2
"319",1
"320",2
"321",2
"322",2
"323",2
"324",2
"325",2
"326",1
"327",2
"328",1
"329",2
"330",2
"331",2
"332",1
"333",3
"334",3
"335",2
"336",2
"337",3
"338",3
"339",2
"340",3
"341",2
"342",2
"343",2
"344",4
"345",1
"346",3
"347",2
"348",4
"349",2
"350",1
"351",2
"352",1
"353",1
"354",3
"355",2
"356",3
"357",3
"358",3
"359",1
"360",1
"361",1
"362",1
"363",3
"364",3
"365",2
"366",3
"367",2
"368",3
"369",3
"370",2
"371",1
"372",1
"373",1
"374",2
"375",2
"376",3
"377",3
"378",4
"379",3
"380",3
"381",1
"382",1
"383",2
"384",3
"385",1
"386",3
"387",1
"388",2
"389",1
"390",2
"391",1
"392",1
"393",3
"394",3
"395",1
"396",1
"397",2
"398",2
"399",1
"400",4
"401",2
"402",3
"403",2
"404",3
"405",3
"406",2
"407",2
"408",2
"409",2
"410",1
"411",1
"412",3
"413",4
"414",2
"415",4
"416",1
"417",3
"418",1
"419",3
"420",2
"421",1
"422",2
"423",1
"424",2
"425",1
"426",1
"427",1
"428",2
"429",3
"430",1
"431",3
"432",1
"433",1
"434",4
"435",3
"436",4
"437",3
"438",1
"439",2
"440",1
"441",3
"442",1
"443",3
"444",1
"445",2
"446",2
"447",2
"448",2
"449",1
"450",1
"451",2
"452",3
"453",3
"454",2
"455",2
"456",2
"457",3
"458",2
"459",1
"460",3
"461",1
"462",3
"463",1
"464",1
"465",1
"466",1
"467",3
"468",1
"469",3
"470",3
"471",3
"472",3
"473",3
"474",3
"475",3
"476",3
"477",2
"478",1
"479",1
"480",4
"481",2
"482",1
"483",4
"484",2
"485",1
"486",3
"487",3
"488",3
"489",3
"490",1
"491",2
"492",1
"493",1
"494",3
"495",3
"496",3
"497",3
"498",2
"499",1
"500",3
"501",1
"502",3
"503",3
"504",1
"505",3
"506",1
"507",3
"508",2
"509",2
"510",3
"511",2
"512",1
"513",3
"514",1
"515",3
"516",2
"517",1
"518",4
"519",1
"520",2
"521",3
"522",1
"523",2
"524",2
"525",2
"526",2
"527",3
"528",3
"529",1
"530",1
"531",1
"532",1
"533",2
"534",2
"535",1
"536",1
"537",3
"538",3
"539",2
"540",1
"541",1
"542",1
"543",1
"544",2
"545",2
"546",2
"547",1
"548",1
"549",3
"550",2
"551",2
"552",2
"553",3
"554",1
"555",3
"556",1
"557",2
"558",1
"559",1
"560",3
"561",1
"562",2
"563",1
"564",3
"565",2
"566",2
"567",1
"568",3
"569",1
"570",1
"571",1
"572",1
"573",1
"574",3
"575",3
"576",1
"577",1
"578",4
"579",2
"580",3
"581",2
"582",3
"583",1
"584",2
"585",3
"586",1
"587",3
"588",1
"589",2
"590",1
"591",3
"592",1
"593",1
"594",3
"595",2
"596",1
"597",1
"598",1
"599",2
"600",3
"601",3
"602",3
"603",3
"604",1
"605",3
"606",3
"607",1
"608",1
"609",4
"610",2
"611",1
"612",3
"613",1
"614",3
"615",2
"616",2
"617",2
"618",1
"619",3
"620",3
"621",2
"622",1
"623",2
"624",2
"625",3
"626",3
"627",3
"628",1
"629",1
"630",2
"631",1
"632",3
"633",4
"634",2
"635",4
"636",3
"637",1
"638",1
"639",3
"640",2
"641",2
"642",2
"643",3
"644",1
"645",1
"646",3
"647",2
"648",3
"649",3
"650",1
"651",2
"652",3
"653",1
"654",2
"655",2
"656",1
"657",2
"658",1
"659",4
"660",2
"661",1
"662",3
"663",4
"664",3
"665",2
"666",1
"667",2
"668",1
"669",2
"670",3
"671",1
"672",2
"673",3
"674",1
"675",3
"676",3
"677",3
"678",1
"679",3
"680",1
"681",1
"682",3
"683",1
"684",3
"685",3
"686",1
"687",1
"688",2
"689",1
"690",2
"691",1
"692",1
"693",1
"694",1
"695",1
"696",3
"697",2
"698",2
"699",2
"700",4
"701",1
"702",2
"703",3
"704",1
"705",2
"706",1
"707",2
"708",3
"709",1
"710",2
"711",2
"712",3
"713",1
"714",2
"715",2
"716",2
"717",3
"718",4
"719",2
"720",2
"721",4
"722",2
"723",3
"724",1
"725",1
"726",3
"727",2
"728",3
"729",1
"730",1
"731",4
"732",2
"733",3
"734",3
"735",1
"736",2
"737",2
