"","x"
"1",0.575247846970494
"2",0.529420935140398
"3",4
"4",4
"5",3
"6",4
"7",1
"8",3
"9",1
"10",2
"11",1
"12",4
"13",1
"14",1
"15",4
"16",3
"17",1
"18",3
"19",4
"20",2
"21",1
"22",3
"23",1
"24",3
"25",4
"26",3
"27",2
"28",1
"29",1
"30",3
"31",1
"32",4
"33",3
"34",1
"35",2
"36",3
"37",1
"38",1
"39",1
"40",3
"41",2
"42",4
"43",4
"44",4
"45",1
"46",1
"47",3
"48",1
"49",1
"50",1
"51",4
"52",4
"53",4
"54",4
"55",4
"56",4
"57",3
"58",4
"59",4
"60",4
"61",3
"62",4
"63",3
"64",1
"65",1
"66",3
"67",2
"68",2
"69",4
"70",3
"71",4
"72",3
"73",2
"74",4
"75",1
"76",1
"77",3
"78",3
"79",1
"80",1
"81",1
"82",4
"83",2
"84",1
"85",1
"86",1
"87",1
"88",1
"89",1
"90",4
"91",4
"92",1
"93",1
"94",2
"95",2
"96",2
"97",1
"98",2
"99",3
"100",3
"101",4
"102",1
"103",4
"104",2
"105",4
"106",1
"107",3
"108",3
"109",1
"110",3
"111",4
"112",3
"113",1
"114",1
"115",4
"116",4
"117",1
"118",4
"119",1
"120",3
"121",4
"122",1
"123",2
"124",2
"125",1
"126",1
"127",4
"128",4
"129",1
"130",1
"131",1
"132",4
"133",4
"134",1
"135",1
"136",3
"137",3
"138",4
"139",2
"140",4
"141",2
"142",1
"143",3
"144",4
"145",4
"146",1
"147",4
"148",3
"149",3
"150",4
"151",4
"152",4
"153",3
"154",3
"155",2
"156",4
"157",3
"158",1
"159",1
"160",1
"161",4
"162",3
"163",1
"164",3
"165",3
"166",4
"167",4
"168",1
"169",4
"170",3
"171",3
"172",1
"173",2
"174",2
"175",3
"176",3
"177",1
"178",4
"179",1
"180",1
"181",2
"182",3
"183",1
"184",1
"185",1
"186",3
"187",4
"188",3
"189",4
"190",4
"191",4
"192",1
"193",1
"194",2
"195",1
"196",1
"197",3
"198",4
"199",4
"200",3
"201",4
"202",1
"203",4
"204",1
"205",3
"206",1
"207",4
"208",1
"209",1
"210",1
"211",1
"212",2
"213",4
"214",3
"215",4
"216",3
"217",4
"218",1
"219",1
"220",1
"221",2
"222",4
"223",3
"224",1
"225",4
"226",1
"227",4
"228",1
"229",4
"230",4
"231",4
"232",4
"233",3
"234",4
"235",1
"236",3
"237",1
"238",4
"239",1
"240",1
"241",1
"242",1
"243",4
"244",3
"245",1
"246",3
"247",4
"248",1
"249",1
"250",4
"251",4
"252",4
"253",1
"254",1
"255",3
"256",4
"257",1
"258",1
"259",4
"260",4
"261",4
"262",1
"263",4
"264",1
"265",4
"266",1
"267",3
"268",1
"269",1
"270",4
"271",1
"272",1
"273",4
"274",3
"275",2
"276",4
"277",1
"278",1
"279",2
"280",4
"281",1
"282",4
"283",4
"284",4
"285",4
"286",4
"287",3
"288",1
"289",3
"290",1
"291",4
"292",4
"293",4
"294",1
"295",1
"296",3
"297",4
"298",4
"299",3
"300",3
"301",3
"302",3
"303",1
"304",3
"305",1
"306",1
"307",2
"308",1
"309",2
"310",1
"311",3
"312",3
"313",1
"314",4
"315",2
"316",2
"317",2
"318",1
"319",1
"320",1
"321",3
"322",3
"323",2
"324",3
"325",1
"326",1
"327",2
"328",1
"329",3
"330",3
"331",2
"332",1
"333",4
"334",4
"335",2
"336",1
"337",4
"338",4
"339",1
"340",4
"341",3
"342",1
"343",3
"344",4
"345",3
"346",4
"347",1
"348",1
"349",1
"350",1
"351",2
"352",3
"353",1
"354",4
"355",3
"356",2
"357",4
"358",4
"359",3
"360",1
"361",1
"362",3
"363",4
"364",4
"365",1
"366",4
"367",3
"368",1
"369",4
"370",1
"371",2
"372",1
"373",1
"374",1
"375",2
"376",4
"377",4
"378",4
"379",4
"380",4
"381",1
"382",3
"383",2
"384",4
"385",1
"386",4
"387",3
"388",2
"389",1
"390",1
"391",3
"392",1
"393",4
"394",4
"395",1
"396",1
"397",3
"398",2
"399",1
"400",4
"401",1
"402",4
"403",2
"404",4
"405",4
"406",2
"407",2
"408",3
"409",1
"410",1
"411",1
"412",4
"413",4
"414",3
"415",4
"416",1
"417",4
"418",1
"419",4
"420",3
"421",1
"422",3
"423",1
"424",2
"425",1
"426",1
"427",1
"428",3
"429",4
"430",1
"431",4
"432",1
"433",1
"434",4
"435",4
"436",4
"437",4
"438",1
"439",1
"440",1
"441",4
"442",1
"443",4
"444",3
"445",2
"446",1
"447",2
"448",3
"449",1
"450",1
"451",1
"452",4
"453",4
"454",2
"455",4
"456",3
"457",4
"458",3
"459",3
"460",3
"461",3
"462",4
"463",3
"464",1
"465",3
"466",2
"467",4
"468",1
"469",4
"470",4
"471",4
"472",4
"473",4
"474",4
"475",4
"476",4
"477",3
"478",1
"479",3
"480",3
"481",3
"482",3
"483",4
"484",3
"485",1
"486",4
"487",4
"488",2
"489",2
"490",1
"491",1
"492",1
"493",1
"494",4
"495",4
"496",4
"497",4
"498",1
"499",1
"500",4
"501",1
"502",4
"503",4
"504",1
"505",4
"506",1
"507",1
"508",3
"509",3
"510",4
"511",3
"512",1
"513",4
"514",1
"515",4
"516",2
"517",1
"518",4
"519",3
"520",2
"521",4
"522",1
"523",1
"524",3
"525",1
"526",3
"527",4
"528",4
"529",1
"530",1
"531",1
"532",3
"533",1
"534",3
"535",1
"536",1
"537",4
"538",4
"539",2
"540",1
"541",1
"542",1
"543",1
"544",3
"545",1
"546",3
"547",1
"548",1
"549",4
"550",2
"551",3
"552",3
"553",4
"554",1
"555",4
"556",1
"557",2
"558",3
"559",1
"560",4
"561",1
"562",2
"563",1
"564",4
"565",1
"566",3
"567",1
"568",4
"569",1
"570",1
"571",1
"572",1
"573",1
"574",4
"575",4
"576",1
"577",1
"578",1
"579",1
"580",4
"581",3
"582",4
"583",1
"584",3
"585",4
"586",3
"587",4
"588",3
"589",3
"590",3
"591",4
"592",3
"593",3
"594",4
"595",3
"596",3
"597",1
"598",1
"599",3
"600",4
"601",4
"602",4
"603",4
"604",1
"605",4
"606",4
"607",1
"608",3
"609",4
"610",3
"611",3
"612",4
"613",1
"614",4
"615",2
"616",1
"617",3
"618",1
"619",4
"620",4
"621",1
"622",1
"623",3
"624",3
"625",4
"626",4
"627",4
"628",1
"629",1
"630",3
"631",1
"632",4
"633",3
"634",1
"635",4
"636",4
"637",1
"638",1
"639",4
"640",4
"641",3
"642",2
"643",4
"644",3
"645",1
"646",4
"647",1
"648",4
"649",2
"650",1
"651",2
"652",4
"653",1
"654",2
"655",3
"656",2
"657",1
"658",1
"659",3
"660",1
"661",2
"662",4
"663",4
"664",4
"665",3
"666",3
"667",1
"668",1
"669",3
"670",4
"671",1
"672",1
"673",4
"674",1
"675",4
"676",2
"677",4
"678",1
"679",4
"680",1
"681",1
"682",4
"683",1
"684",4
"685",4
"686",3
"687",1
"688",3
"689",1
"690",1
"691",1
"692",1
"693",1
"694",1
"695",3
"696",4
"697",3
"698",3
"699",1
"700",4
"701",1
"702",3
"703",4
"704",3
"705",3
"706",1
"707",2
"708",4
"709",1
"710",3
"711",1
"712",4
"713",3
"714",1
"715",3
"716",4
"717",4
"718",4
"719",1
"720",2
"721",3
"722",2
"723",4
"724",3
"725",1
"726",4
"727",3
"728",4
"729",1
"730",1
"731",3
"732",2
"733",3
"734",4
"735",1
"736",1
"737",3
"738",4
"739",4
"740",1
"741",3
"742",1
"743",4
"744",1
"745",3
"746",3
"747",1
"748",1
"749",1
"750",4
"751",4
"752",3
"753",4
"754",1
"755",3
"756",4
"757",1
"758",1
"759",4
"760",1
"761",1
"762",1
"763",4
"764",3
"765",1
"766",3
"767",4
"768",2
"769",4
"770",1
"771",4
"772",4
"773",3
"774",4
"775",4
"776",2
"777",4
"778",1
"779",3
"780",4
"781",4
"782",4
"783",4
"784",4
"785",1
"786",4
"787",1
"788",2
"789",4
"790",4
"791",4
"792",1
"793",3
"794",1
"795",4
"796",4
"797",4
"798",1
"799",1
"800",3
"801",3
"802",1
"803",1
"804",1
"805",1
"806",1
"807",3
"808",1
"809",1
"810",3
"811",4
"812",1
"813",3
"814",3
"815",1
"816",1
"817",4
"818",4
"819",1
"820",4
"821",1
"822",4
"823",3
"824",4
"825",1
"826",1
"827",3
"828",1
"829",4
"830",4
"831",1
"832",1
"833",4
"834",2
"835",1
"836",3
"837",4
"838",3
"839",4
"840",2
"841",4
"842",3
"843",1
"844",2
"845",3
"846",1
"847",4
"848",1
"849",1
"850",1
"851",1
"852",4
"853",1
"854",4
"855",4
"856",1
"857",4
"858",3
"859",3
"860",4
"861",4
"862",3
"863",3
"864",1
"865",4
"866",2
"867",1
"868",4
"869",4
"870",1
"871",2
"872",4
"873",3
"874",1
"875",4
"876",2
"877",2
"878",3
"879",3
"880",1
"881",4
"882",3
"883",4
"884",1
"885",1
"886",1
"887",3
"888",1
"889",4
"890",1
"891",3
"892",3
"893",1
"894",3
"895",1
"896",4
"897",4
"898",4
"899",4
"900",1
"901",1
"902",4
"903",4
"904",3
"905",1
"906",2
"907",1
"908",3
"909",4
"910",2
"911",4
"912",4
"913",3
"914",4
"915",3
"916",1
"917",1
"918",3
"919",4
"920",1
"921",4
"922",1
"923",3
"924",1
"925",2
"926",2
"927",1
"928",1
"929",4
"930",1
"931",2
"932",3
"933",4
"934",3
"935",4
"936",1
"937",3
"938",3
"939",1
"940",3
"941",4
"942",3
"943",3
"944",2
"945",4
"946",4
"947",3
"948",1
"949",1
"950",1
"951",1
"952",4
"953",1
"954",1
"955",2
"956",3
"957",1
"958",1
"959",1
"960",1
"961",2
"962",1
"963",4
"964",1
"965",1
"966",2
"967",1
"968",3
"969",4
"970",1
"971",4
"972",2
"973",2
"974",4
"975",1
"976",3
"977",2
"978",3
"979",4
"980",1
"981",4
"982",1
"983",3
"984",3
"985",3
"986",1
"987",1
"988",1
"989",1
"990",2
"991",4
"992",1
"993",4
"994",4
"995",1
"996",3
"997",3
"998",3
"999",4
"1000",4
"1001",1
"1002",1
"1003",4
"1004",4
"1005",2
"1006",2
"1007",4
"1008",4
"1009",4
"1010",1
"1011",3
"1012",1
"1013",1
"1014",4
"1015",1
"1016",4
"1017",1
"1018",1
"1019",4
"1020",1
"1021",2
"1022",3
"1023",4
"1024",3
"1025",2
"1026",3
"1027",1
"1028",4
"1029",4
"1030",4
"1031",2
"1032",4
"1033",1
"1034",1
"1035",4
"1036",1
"1037",4
"1038",1
"1039",4
"1040",1
"1041",4
"1042",4
"1043",3
"1044",1
"1045",3
"1046",1
"1047",4
"1048",1
"1049",1
"1050",1
"1051",1
"1052",4
"1053",3
"1054",4
"1055",2
"1056",1
"1057",1
"1058",4
"1059",1
"1060",4
"1061",1
"1062",1
"1063",1
"1064",1
"1065",3
"1066",3
"1067",4
"1068",2
"1069",4
"1070",3
"1071",1
"1072",3
"1073",4
"1074",4
"1075",2
"1076",4
"1077",4
"1078",1
"1079",1
"1080",4
"1081",2
"1082",4
"1083",2
"1084",1
"1085",4
"1086",4
"1087",3
"1088",4
"1089",4
"1090",1
"1091",1
"1092",4
"1093",3
"1094",1
"1095",2
"1096",4
"1097",3
"1098",1
"1099",1
"1100",4
"1101",1
"1102",1
"1103",4
"1104",1
"1105",1
"1106",3
"1107",1
"1108",1
"1109",4
"1110",1
"1111",4
"1112",1
"1113",4
"1114",4
"1115",1
"1116",3
"1117",2
"1118",1
"1119",1
"1120",1
"1121",3
"1122",1
"1123",3
"1124",1
"1125",3
"1126",4
"1127",1
"1128",4
"1129",1
"1130",1
"1131",2
"1132",3
"1133",1
"1134",4
"1135",4
"1136",1
"1137",4
"1138",1
"1139",3
"1140",1
"1141",3
"1142",4
"1143",3
"1144",1
"1145",1
"1146",3
"1147",3
"1148",1
"1149",3
"1150",2
"1151",4
"1152",4
"1153",1
"1154",4
"1155",2
"1156",4
"1157",2
"1158",3
"1159",1
"1160",1
"1161",1
"1162",3
"1163",2
"1164",1
"1165",1
"1166",1
"1167",4
"1168",4
"1169",3
"1170",1
"1171",4
"1172",3
"1173",1
"1174",3
"1175",4
"1176",1
"1177",1
"1178",3
"1179",3
"1180",2
"1181",1
"1182",4
"1183",4
"1184",4
"1185",4
"1186",1
"1187",1
"1188",4
"1189",4
"1190",3
"1191",2
"1192",4
"1193",4
"1194",4
"1195",4
"1196",3
"1197",1
"1198",4
"1199",2
"1200",4
"1201",1
"1202",4
"1203",1
"1204",3
"1205",1
"1206",4
"1207",4
"1208",4
"1209",1
"1210",3
"1211",2
"1212",1
"1213",4
"1214",4
"1215",1
"1216",1
"1217",4
"1218",1
"1219",1
"1220",4
"1221",4
"1222",4
"1223",3
"1224",1
"1225",1
"1226",1
"1227",4
"1228",1
"1229",3
"1230",4
"1231",4
"1232",4
"1233",2
"1234",4
"1235",4
"1236",4
"1237",4
"1238",2
"1239",1
"1240",4
"1241",4
"1242",4
"1243",3
"1244",1
"1245",4
"1246",3
"1247",1
"1248",1
"1249",1
"1250",4
"1251",4
"1252",1
"1253",4
"1254",4
"1255",1
"1256",4
"1257",1
"1258",1
"1259",2
"1260",1
"1261",2
"1262",1
"1263",2
"1264",1
"1265",1
"1266",3
"1267",4
"1268",4
"1269",2
"1270",4
"1271",1
"1272",2
"1273",3
"1274",3
"1275",4
"1276",1
"1277",3
"1278",4
"1279",2
"1280",4
"1281",3
"1282",1
"1283",4
"1284",4
"1285",4
"1286",4
"1287",4
"1288",4
"1289",3
"1290",1
"1291",4
"1292",4
"1293",1
"1294",3
"1295",3
"1296",1
"1297",4
"1298",4
"1299",4
"1300",4
"1301",4
"1302",3
"1303",3
"1304",4
"1305",3
"1306",1
"1307",4
"1308",1
"1309",4
"1310",1
"1311",1
"1312",1
"1313",1
"1314",1
"1315",1
"1316",3
"1317",3
"1318",4
"1319",4
"1320",1
"1321",2
"1322",3
"1323",3
"1324",3
"1325",1
"1326",1
"1327",4
"1328",1
"1329",3
"1330",4
"1331",4
"1332",4
"1333",1
"1334",3
"1335",1
"1336",4
"1337",4
"1338",2
"1339",1
"1340",3
"1341",1
"1342",4
"1343",1
"1344",1
"1345",4
"1346",3
"1347",2
"1348",1
"1349",4
"1350",2
"1351",1
"1352",3
"1353",2
"1354",3
"1355",4
"1356",2
"1357",4
"1358",1
"1359",2
"1360",4
"1361",3
"1362",3
"1363",1
"1364",4
"1365",3
"1366",3
"1367",1
"1368",4
"1369",4
"1370",1
"1371",4
"1372",4
"1373",4
"1374",4
"1375",1
"1376",4
"1377",4
"1378",1
"1379",3
"1380",2
"1381",2
"1382",4
"1383",4
"1384",4
"1385",4
"1386",4
"1387",1
"1388",3
"1389",2
"1390",4
"1391",2
"1392",2
"1393",1
"1394",1
"1395",1
"1396",1
"1397",4
"1398",2
"1399",4
"1400",3
"1401",4
"1402",1
"1403",1
"1404",3
"1405",1
"1406",3
"1407",2
"1408",3
"1409",2
"1410",3
"1411",4
"1412",4
"1413",4
"1414",4
"1415",3
"1416",3
"1417",1
"1418",2
"1419",1
"1420",1
"1421",4
"1422",4
"1423",1
"1424",3
"1425",4
"1426",1
"1427",2
"1428",1
"1429",1
"1430",4
"1431",2
"1432",4
"1433",4
"1434",2
"1435",3
"1436",4
"1437",1
"1438",2
"1439",4
"1440",4
"1441",2
"1442",3
"1443",3
"1444",1
"1445",1
"1446",4
"1447",4
"1448",2
"1449",3
"1450",1
"1451",2
"1452",3
"1453",4
"1454",2
"1455",1
"1456",4
"1457",1
"1458",4
"1459",1
"1460",1
"1461",1
"1462",4
"1463",1
"1464",1
"1465",2
"1466",1
"1467",4
"1468",1
"1469",3
"1470",2
"1471",3
"1472",4
"1473",2
"1474",1
"1475",4
"1476",4
"1477",3
"1478",1
"1479",1
"1480",2
"1481",1
"1482",3
"1483",4
"1484",2
"1485",4
"1486",1
"1487",4
"1488",4
"1489",3
"1490",4
"1491",3
"1492",3
"1493",1
"1494",1
"1495",3
"1496",3
"1497",3
"1498",1
"1499",4
"1500",1
"1501",1
"1502",1
"1503",4
"1504",3
"1505",4
"1506",2
"1507",1
"1508",1
"1509",3
"1510",4
"1511",4
"1512",4
"1513",1
"1514",4
"1515",4
"1516",3
"1517",1
"1518",3
"1519",1
"1520",4
"1521",1
"1522",3
"1523",1
"1524",4
"1525",4
"1526",1
"1527",3
"1528",4
"1529",1
"1530",1
"1531",4
"1532",1
"1533",3
"1534",1
"1535",1
"1536",4
"1537",4
"1538",4
"1539",4
"1540",3
"1541",2
"1542",4
"1543",4
"1544",4
"1545",4
"1546",1
"1547",1
"1548",3
"1549",3
"1550",4
"1551",3
"1552",3
"1553",4
"1554",1
"1555",3
"1556",4
"1557",3
"1558",4
"1559",1
"1560",1
"1561",4
"1562",1
"1563",1
"1564",1
"1565",4
"1566",1
"1567",1
"1568",1
"1569",4
"1570",4
"1571",1
"1572",4
"1573",4
"1574",1
"1575",1
"1576",4
"1577",1
"1578",1
"1579",1
"1580",4
"1581",1
"1582",4
"1583",1
"1584",4
"1585",1
"1586",1
"1587",4
"1588",1
"1589",4
"1590",2
"1591",4
"1592",1
"1593",1
"1594",4
"1595",2
"1596",3
"1597",4
"1598",1
"1599",1
"1600",1
"1601",1
"1602",4
"1603",3
"1604",1
"1605",3
"1606",1
"1607",1
"1608",1
"1609",3
"1610",3
"1611",1
"1612",4
"1613",1
"1614",1
"1615",1
"1616",1
"1617",4
"1618",4
"1619",1
"1620",2
"1621",4
"1622",3
"1623",4
"1624",3
"1625",2
"1626",1
"1627",1
"1628",1
"1629",4
"1630",4
"1631",1
"1632",4
"1633",1
"1634",1
"1635",4
"1636",4
"1637",3
"1638",4
"1639",4
"1640",3
"1641",3
"1642",4
"1643",1
"1644",1
"1645",1
"1646",4
"1647",1
"1648",4
"1649",1
"1650",4
"1651",3
"1652",3
"1653",4
"1654",4
"1655",1
"1656",4
"1657",4
"1658",3
"1659",4
"1660",3
"1661",4
"1662",3
"1663",1
"1664",3
"1665",4
"1666",4
"1667",1
"1668",3
"1669",2
"1670",3
"1671",1
"1672",1
"1673",4
"1674",4
"1675",1
"1676",4
"1677",4
"1678",1
"1679",4
"1680",4
"1681",4
"1682",1
"1683",3
"1684",4
"1685",1
"1686",4
"1687",1
"1688",4
"1689",4
"1690",4
"1691",3
"1692",1
"1693",2
"1694",2
"1695",3
