"","x"
"1",0.342912710858455
"2",0.603442028384444
"3",1
"4",8
"5",13
"6",15
"7",2
"8",13
"9",1
"10",2
"11",9
"12",7
"13",9
"14",5
"15",2
"16",9
"17",2
"18",1
"19",2
"20",10
"21",4
"22",5
"23",1
"24",7
"25",1
"26",2
"27",5
"28",4
"29",15
"30",15
"31",9
"32",1
"33",13
"34",2
"35",9
"36",2
"37",1
"38",16
"39",4
"40",5
"41",6
"42",9
"43",8
"44",15
"45",2
"46",9
"47",3
"48",2
"49",14
"50",8
"51",12
"52",15
"53",9
"54",1
"55",15
"56",13
"57",7
"58",2
"59",6
"60",1
"61",3
"62",5
"63",2
"64",4
"65",15
"66",12
"67",2
"68",2
"69",2
"70",13
"71",15
"72",8
"73",12
"74",1
"75",8
"76",2
"77",5
"78",15
"79",2
"80",9
"81",9
"82",2
"83",16
"84",2
"85",9
"86",10
"87",7
"88",9
"89",10
"90",2
"91",10
"92",2
"93",1
"94",2
"95",14
"96",12
"97",1
"98",12
"99",8
"100",10
"101",2
"102",5
"103",1
"104",12
"105",4
"106",15
"107",12
"108",2
"109",2
"110",4
"111",1
"112",14
"113",12
"114",15
"115",16
"116",4
"117",15
"118",13
"119",9
"120",2
"121",9
"122",8
"123",12
"124",1
"125",16
"126",6
"127",2
"128",1
"129",10
"130",2
"131",12
"132",14
"133",2
"134",5
"135",2
"136",16
"137",7
"138",4
"139",15
"140",9
"141",6
"142",16
"143",8
"144",16
"145",16
"146",4
"147",12
"148",2
"149",12
"150",6
"151",8
"152",14
"153",16
"154",14
"155",13
"156",14
"157",16
"158",15
"159",16
"160",9
"161",1
"162",13
"163",2
"164",12
"165",1
"166",15
"167",12
"168",13
"169",4
"170",13
"171",15
"172",14
"173",15
"174",4
"175",5
"176",12
"177",15
"178",14
"179",14
"180",14
"181",12
"182",15
"183",12
"184",8
"185",12
"186",1
"187",16
"188",15
"189",1
"190",10
"191",3
"192",15
"193",2
"194",15
"195",2
"196",5
"197",1
"198",5
"199",6
"200",1
"201",5
"202",15
"203",9
"204",5
"205",9
"206",12
"207",5
"208",10
"209",2
"210",6
"211",8
"212",8
"213",16
"214",1
"215",6
"216",1
"217",2
"218",1
"219",15
"220",10
"221",9
"222",9
"223",8
"224",7
"225",13
"226",10
"227",13
"228",2
"229",12
"230",15
"231",4
"232",4
"233",2
"234",3
"235",14
"236",12
"237",2
"238",13
"239",13
"240",5
"241",13
"242",15
"243",5
"244",1
"245",9
"246",1
"247",9
"248",6
"249",1
"250",4
"251",2
"252",15
"253",6
"254",5
"255",12
"256",12
"257",6
"258",15
"259",2
"260",5
"261",3
"262",4
"263",16
"264",2
"265",5
"266",10
"267",12
"268",7
"269",1
"270",2
"271",1
"272",11
"273",4
"274",6
"275",2
"276",4
"277",12
"278",6
"279",1
"280",2
"281",2
"282",2
"283",2
"284",8
"285",8
"286",4
"287",5
"288",1
"289",16
"290",13
"291",15
"292",12
"293",12
"294",16
"295",8
"296",2
"297",4
"298",4
"299",1
"300",6
"301",14
"302",2
"303",2
"304",8
"305",12
"306",2
"307",2
"308",16
"309",9
"310",12
"311",9
"312",15
"313",6
"314",15
"315",2
"316",1
"317",12
"318",8
"319",6
"320",6
"321",15
"322",2
"323",15
"324",5
"325",14
"326",5
"327",6
"328",10
"329",9
"330",13
"331",14
"332",6
"333",2
"334",2
"335",4
"336",15
"337",1
"338",9
"339",15
"340",2
"341",2
"342",2
"343",16
"344",2
"345",12
"346",4
"347",15
"348",6
"349",2
"350",11
"351",15
"352",10
"353",1
"354",6
"355",5
"356",1
"357",16
"358",2
"359",1
"360",1
"361",1
"362",13
"363",5
"364",2
"365",14
"366",2
"367",4
"368",2
"369",2
"370",12
"371",12
"372",2
"373",8
"374",2
"375",4
"376",2
"377",2
"378",4
"379",2
"380",13
"381",15
"382",2
"383",4
"384",15
"385",2
"386",8
"387",8
"388",2
"389",2
"390",16
"391",12
"392",16
"393",6
"394",14
"395",12
"396",2
"397",5
"398",14
"399",16
"400",13
"401",13
"402",12
"403",14
"404",15
"405",12
"406",2
"407",1
"408",8
"409",9
"410",3
"411",14
"412",5
"413",4
"414",8
"415",2
"416",2
"417",15
"418",9
"419",10
"420",10
"421",14
"422",6
"423",2
"424",9
"425",2
"426",7
"427",14
"428",3
"429",15
"430",6
"431",9
"432",6
"433",14
"434",13
"435",15
"436",2
"437",5
"438",3
"439",16
"440",2
"441",12
"442",4
"443",10
"444",12
"445",2
"446",12
"447",5
"448",16
"449",12
"450",9
"451",4
"452",5
"453",2
"454",2
"455",9
"456",8
"457",6
"458",4
"459",2
"460",1
"461",2
"462",15
"463",6
"464",11
"465",12
"466",2
"467",12
"468",10
"469",7
"470",15
"471",12
"472",5
"473",13
"474",2
"475",2
"476",4
"477",6
"478",2
"479",15
"480",14
"481",2
"482",16
"483",4
"484",2
"485",16
"486",3
"487",4
"488",5
"489",12
"490",2
"491",4
"492",6
"493",9
"494",10
"495",5
"496",6
"497",12
"498",6
"499",2
"500",2
"501",10
"502",15
"503",12
"504",2
"505",6
"506",9
"507",16
"508",2
"509",2
"510",9
"511",6
"512",6
"513",14
"514",8
"515",2
"516",2
"517",14
"518",8
"519",2
"520",2
"521",2
"522",12
"523",2
"524",14
"525",8
"526",12
"527",4
"528",2
"529",3
"530",9
"531",4
"532",4
"533",3
"534",2
"535",2
"536",14
"537",9
"538",2
"539",2
"540",6
"541",9
"542",15
"543",13
"544",1
"545",14
"546",8
"547",15
"548",4
"549",2
"550",15
"551",9
"552",16
"553",2
"554",13
"555",2
"556",14
"557",12
"558",2
"559",2
"560",12
"561",8
"562",7
"563",12
"564",2
"565",6
"566",15
"567",1
"568",12
"569",2
"570",3
"571",2
"572",5
"573",2
"574",6
"575",1
"576",8
"577",2
"578",5
"579",4
"580",6
"581",16
"582",8
"583",12
"584",13
"585",2
"586",16
"587",5
"588",2
"589",1
"590",15
"591",12
"592",5
"593",8
"594",2
"595",10
"596",2
"597",2
"598",2
"599",5
"600",2
"601",16
"602",10
"603",15
"604",15
"605",15
"606",12
"607",15
"608",10
"609",2
"610",16
"611",10
"612",15
"613",4
"614",9
"615",4
"616",2
"617",13
"618",2
"619",6
"620",5
"621",1
"622",12
"623",11
"624",16
"625",15
"626",5
"627",9
"628",3
"629",15
"630",12
"631",6
"632",4
"633",14
"634",4
"635",13
"636",5
"637",9
"638",14
"639",15
"640",2
"641",9
"642",14
"643",1
"644",2
"645",1
"646",6
"647",12
"648",1
"649",9
"650",13
"651",4
"652",15
"653",1
"654",12
"655",6
"656",4
"657",10
"658",16
"659",9
"660",4
"661",8
"662",9
"663",16
"664",1
"665",1
"666",5
"667",15
"668",2
"669",4
"670",8
"671",1
"672",6
"673",6
"674",15
"675",12
"676",10
"677",2
"678",1
"679",2
"680",3
"681",5
"682",2
"683",4
"684",12
"685",10
"686",12
"687",12
"688",2
"689",5
"690",1
"691",2
"692",12
"693",16
"694",13
"695",1
"696",14
"697",2
"698",12
"699",2
"700",6
"701",15
"702",12
"703",6
"704",1
"705",2
"706",9
"707",5
"708",1
"709",9
"710",4
"711",5
"712",1
"713",15
"714",9
"715",15
"716",12
"717",15
"718",13
"719",9
"720",1
"721",6
"722",15
"723",12
"724",13
"725",6
"726",10
"727",3
"728",9
"729",15
"730",2
"731",3
"732",2
"733",9
"734",8
"735",3
"736",16
"737",8
"738",2
"739",2
"740",16
"741",1
"742",2
"743",5
"744",15
"745",5
"746",3
"747",13
"748",14
"749",11
"750",11
"751",5
"752",4
"753",14
"754",2
"755",15
"756",2
"757",2
"758",13
"759",2
"760",2
"761",9
"762",16
"763",12
"764",12
"765",5
"766",2
"767",6
"768",4
"769",3
"770",7
"771",3
"772",4
"773",8
"774",12
"775",4
"776",8
"777",4
"778",3
"779",4
"780",2
"781",8
"782",14
"783",8
"784",3
"785",2
"786",12
"787",4
"788",6
"789",2
"790",4
"791",15
"792",4
"793",14
"794",12
"795",16
"796",2
"797",12
"798",3
"799",15
"800",6
"801",10
"802",2
"803",13
"804",16
"805",13
"806",1
"807",15
"808",15
"809",1
"810",15
"811",5
"812",4
"813",2
"814",1
"815",1
"816",12
"817",13
"818",6
"819",8
"820",14
"821",2
"822",6
"823",15
"824",15
"825",1
"826",8
"827",8
"828",5
"829",13
"830",6
"831",9
"832",4
"833",11
"834",1
"835",10
"836",15
"837",2
"838",7
"839",7
"840",3
"841",6
"842",14
"843",16
"844",2
"845",3
"846",12
"847",12
"848",1
"849",13
"850",6
"851",9
"852",3
"853",12
"854",2
"855",15
"856",15
"857",12
"858",6
"859",14
"860",1
"861",12
"862",2
"863",2
"864",15
"865",15
"866",8
"867",8
"868",8
"869",12
"870",1
"871",13
"872",13
"873",13
"874",3
"875",1
"876",3
"877",15
"878",3
"879",5
"880",12
"881",1
"882",2
"883",3
"884",3
"885",15
"886",15
"887",12
"888",5
"889",2
"890",5
"891",15
"892",8
"893",5
"894",5
"895",4
"896",2
"897",2
"898",12
"899",2
"900",2
"901",2
"902",2
"903",16
"904",15
"905",2
"906",1
"907",10
"908",2
"909",8
"910",1
"911",16
"912",5
"913",12
"914",15
"915",7
"916",2
"917",2
"918",7
"919",13
"920",2
"921",12
"922",4
"923",10
"924",1
"925",3
"926",8
"927",1
"928",10
"929",2
"930",13
"931",1
"932",2
"933",2
"934",16
"935",4
"936",4
"937",15
"938",15
"939",2
"940",6
"941",6
"942",9
"943",5
"944",8
"945",13
"946",6
"947",8
"948",2
"949",4
"950",16
"951",3
"952",6
"953",4
"954",6
"955",13
"956",15
"957",8
"958",6
"959",14
"960",14
"961",10
"962",6
"963",1
"964",13
"965",5
"966",3
"967",6
"968",1
"969",6
"970",15
"971",12
"972",6
"973",13
"974",2
"975",8
"976",6
"977",2
"978",3
"979",10
"980",4
"981",12
"982",1
"983",2
"984",15
"985",12
"986",5
"987",6
"988",2
"989",15
"990",2
"991",16
"992",15
"993",12
"994",14
"995",1
"996",11
"997",12
"998",12
"999",12
"1000",12
"1001",12
"1002",11
"1003",6
"1004",11
"1005",8
"1006",1
"1007",6
"1008",1
"1009",9
"1010",7
"1011",3
"1012",11
"1013",2
"1014",16
"1015",14
"1016",12
"1017",12
"1018",1
"1019",2
"1020",3
"1021",16
"1022",8
"1023",9
"1024",15
"1025",8
"1026",12
"1027",12
"1028",1
"1029",2
"1030",6
"1031",5
"1032",6
"1033",12
"1034",7
"1035",1
"1036",6
"1037",12
"1038",12
"1039",15
"1040",12
"1041",15
"1042",2
"1043",2
"1044",14
"1045",13
"1046",6
"1047",5
"1048",12
"1049",8
"1050",4
"1051",12
"1052",8
"1053",5
"1054",12
"1055",2
"1056",2
"1057",16
"1058",4
"1059",2
"1060",2
"1061",15
"1062",13
"1063",2
"1064",15
"1065",16
"1066",2
"1067",4
"1068",13
"1069",12
"1070",6
"1071",14
"1072",12
"1073",13
"1074",15
"1075",13
"1076",2
"1077",4
"1078",2
"1079",4
"1080",1
"1081",14
"1082",9
"1083",2
"1084",1
"1085",2
"1086",13
"1087",8
"1088",11
"1089",5
"1090",6
"1091",5
"1092",2
"1093",8
"1094",1
"1095",6
"1096",5
"1097",2
"1098",5
"1099",6
"1100",12
"1101",1
"1102",2
"1103",2
"1104",12
"1105",2
"1106",4
"1107",15
"1108",5
"1109",12
"1110",14
"1111",1
"1112",12
"1113",16
"1114",2
"1115",12
"1116",16
"1117",15
"1118",5
"1119",14
"1120",6
"1121",1
"1122",5
"1123",12
"1124",12
"1125",2
"1126",7
"1127",2
"1128",15
"1129",12
"1130",9
"1131",5
"1132",13
"1133",1
"1134",8
"1135",1
"1136",6
"1137",15
"1138",1
"1139",5
"1140",3
"1141",3
"1142",12
"1143",6
"1144",8
"1145",1
"1146",10
"1147",2
"1148",10
"1149",10
"1150",8
"1151",15
"1152",15
"1153",1
"1154",1
"1155",9
"1156",16
"1157",3
"1158",16
"1159",6
"1160",10
"1161",2
"1162",12
"1163",1
"1164",1
"1165",4
"1166",13
"1167",16
"1168",12
"1169",15
"1170",1
"1171",15
"1172",2
"1173",12
"1174",5
"1175",7
"1176",2
"1177",2
"1178",1
"1179",10
"1180",12
"1181",15
"1182",10
"1183",5
"1184",15
"1185",9
"1186",5
"1187",16
"1188",13
"1189",2
"1190",12
"1191",5
"1192",8
"1193",12
"1194",9
"1195",2
"1196",15
"1197",2
"1198",16
"1199",2
"1200",2
"1201",12
"1202",2
"1203",12
"1204",1
"1205",9
"1206",6
"1207",1
"1208",2
"1209",12
"1210",1
"1211",6
"1212",8
"1213",8
"1214",9
"1215",4
"1216",15
"1217",13
"1218",12
"1219",2
"1220",9
"1221",4
"1222",5
"1223",5
"1224",9
"1225",5
"1226",6
"1227",6
"1228",2
"1229",12
"1230",8
"1231",2
"1232",1
"1233",5
"1234",8
"1235",15
"1236",9
"1237",12
"1238",1
"1239",9
"1240",3
"1241",2
"1242",3
"1243",12
"1244",5
"1245",14
"1246",1
"1247",12
"1248",16
"1249",2
"1250",4
"1251",15
"1252",15
"1253",4
"1254",13
"1255",15
"1256",2
"1257",2
"1258",9
"1259",2
"1260",2
"1261",1
"1262",13
"1263",16
"1264",1
"1265",2
"1266",5
"1267",16
"1268",5
"1269",5
"1270",7
"1271",6
"1272",2
"1273",8
"1274",15
"1275",1
"1276",9
"1277",6
"1278",13
"1279",15
"1280",1
"1281",12
"1282",1
"1283",4
"1284",12
"1285",12
"1286",12
"1287",13
"1288",3
"1289",1
"1290",15
"1291",8
"1292",2
"1293",15
"1294",15
"1295",2
"1296",12
"1297",2
"1298",14
"1299",2
"1300",15
"1301",6
"1302",13
"1303",2
"1304",14
"1305",2
"1306",15
"1307",5
"1308",9
"1309",5
"1310",9
"1311",5
"1312",9
"1313",13
"1314",2
"1315",15
"1316",2
"1317",14
"1318",2
"1319",9
"1320",9
"1321",12
"1322",5
"1323",2
"1324",5
"1325",4
"1326",2
"1327",15
"1328",12
"1329",15
"1330",5
"1331",4
"1332",12
"1333",15
"1334",4
"1335",2
"1336",4
"1337",3
"1338",12
"1339",15
"1340",2
