"","x"
"1",0.253868960785731
"2",0.489730280577567
"3",7
"4",8
"5",3
"6",3
"7",6
"8",3
"9",3
"10",6
"11",9
"12",16
"13",9
"14",7
"15",13
"16",6
"17",1
"18",16
"19",2
"20",16
"21",2
"22",16
"23",16
"24",15
"25",7
"26",6
"27",8
"28",13
"29",5
"30",5
"31",9
"32",9
"33",3
"34",6
"35",9
"36",6
"37",16
"38",6
"39",2
"40",9
"41",8
"42",9
"43",10
"44",3
"45",6
"46",16
"47",2
"48",6
"49",8
"50",8
"51",9
"52",3
"53",16
"54",16
"55",5
"56",3
"57",16
"58",6
"59",9
"60",16
"61",16
"62",16
"63",6
"64",1
"65",5
"66",16
"67",6
"68",6
"69",6
"70",3
"71",3
"72",16
"73",16
"74",16
"75",16
"76",6
"77",16
"78",5
"79",6
"80",6
"81",6
"82",6
"83",16
"84",6
"85",16
"86",3
"87",9
"88",6
"89",16
"90",6
"91",16
"92",6
"93",7
"94",6
"95",16
"96",16
"97",16
"98",16
"99",8
"100",6
"101",6
"102",16
"103",9
"104",16
"105",2
"106",6
"107",9
"108",2
"109",6
"110",15
"111",9
"112",16
"113",9
"114",4
"115",9
"116",2
"117",5
"118",3
"119",7
"120",6
"121",12
"122",9
"123",16
"124",16
"125",7
"126",16
"127",6
"128",16
"129",16
"130",6
"131",9
"132",16
"133",6
"134",8
"135",6
"136",16
"137",16
"138",13
"139",1
"140",16
"141",9
"142",16
"143",10
"144",16
"145",1
"146",2
"147",7
"148",6
"149",9
"150",8
"151",8
"152",16
"153",16
"154",16
"155",3
"156",16
"157",9
"158",5
"159",6
"160",4
"161",16
"162",3
"163",6
"164",16
"165",16
"166",3
"167",16
"168",3
"169",2
"170",3
"171",5
"172",16
"173",3
"174",2
"175",9
"176",16
"177",3
"178",8
"179",8
"180",16
"181",9
"182",3
"183",9
"184",8
"185",16
"186",16
"187",16
"188",4
"189",16
"190",6
"191",2
"192",5
"193",6
"194",6
"195",6
"196",16
"197",16
"198",8
"199",8
"200",16
"201",9
"202",3
"203",16
"204",9
"205",16
"206",12
"207",9
"208",1
"209",6
"210",8
"211",10
"212",8
"213",16
"214",16
"215",16
"216",16
"217",6
"218",16
"219",5
"220",13
"221",10
"222",6
"223",10
"224",6
"225",3
"226",3
"227",3
"228",6
"229",9
"230",4
"231",1
"232",2
"233",6
"234",2
"235",16
"236",16
"237",6
"238",3
"239",3
"240",16
"241",3
"242",3
"243",9
"244",16
"245",9
"246",16
"247",16
"248",16
"249",16
"250",15
"251",16
"252",4
"253",8
"254",6
"255",16
"256",9
"257",9
"258",2
"259",6
"260",8
"261",2
"262",2
"263",7
"264",6
"265",8
"266",16
"267",16
"268",8
"269",16
"270",6
"271",9
"272",12
"273",1
"274",8
"275",6
"276",2
"277",9
"278",8
"279",9
"280",15
"281",6
"282",6
"283",6
"284",10
"285",16
"286",1
"287",8
"288",16
"289",6
"290",3
"291",3
"292",9
"293",16
"294",6
"295",10
"296",6
"297",2
"298",2
"299",9
"300",8
"301",16
"302",6
"303",6
"304",16
"305",16
"306",6
"307",6
"308",1
"309",7
"310",16
"311",16
"312",3
"313",7
"314",5
"315",6
"316",16
"317",9
"318",16
"319",8
"320",9
"321",3
"322",6
"323",5
"324",16
"325",8
"326",9
"327",8
"328",16
"329",16
"330",3
"331",10
"332",9
"333",6
"334",1
"335",1
"336",4
"337",16
"338",6
"339",5
"340",6
"341",6
"342",6
"343",6
"344",6
"345",16
"346",2
"347",5
"348",16
"349",6
"350",6
"351",3
"352",2
"353",16
"354",8
"355",8
"356",7
"357",1
"358",6
"359",16
"360",9
"361",7
"362",3
"363",8
"364",6
"365",16
"366",6
"367",16
"368",6
"369",6
"370",16
"371",9
"372",6
"373",10
"374",2
"375",6
"376",6
"377",6
"378",13
"379",2
"380",3
"381",5
"382",6
"383",15
"384",5
"385",6
"386",16
"387",10
"388",1
"389",6
"390",6
"391",16
"392",1
"393",16
"394",8
"395",16
"396",6
"397",8
"398",16
"399",9
"400",3
"401",3
"402",9
"403",8
"404",3
"405",12
"406",6
"407",9
"408",10
"409",3
"410",2
"411",9
"412",8
"413",13
"414",10
"415",16
"416",6
"417",3
"418",9
"419",16
"420",2
"421",16
"422",9
"423",6
"424",16
"425",6
"426",16
"427",10
"428",2
"429",5
"430",8
"431",9
"432",7
"433",16
"434",3
"435",3
"436",6
"437",8
"438",13
"439",16
"440",6
"441",9
"442",2
"443",9
"444",8
"445",6
"446",16
"447",16
"448",16
"449",16
"450",7
"451",2
"452",9
"453",6
"454",6
"455",16
"456",16
"457",16
"458",13
"459",6
"460",7
"461",6
"462",5
"463",16
"464",3
"465",12
"466",6
"467",16
"468",16
"469",16
"470",3
"471",12
"472",9
"473",3
"474",6
"475",6
"476",5
"477",7
"478",1
"479",3
"480",16
"481",1
"482",9
"483",16
"484",1
"485",6
"486",2
"487",13
"488",16
"489",9
"490",6
"491",6
"492",12
"493",9
"494",13
"495",12
"496",9
"497",16
"498",9
"499",6
"500",1
"501",2
"502",3
"503",9
"504",6
"505",8
"506",9
"507",6
"508",2
"509",1
"510",9
"511",3
"512",12
"513",8
"514",8
"515",6
"516",6
"517",8
"518",16
"519",6
"520",6
"521",6
"522",16
"523",6
"524",10
"525",8
"526",8
"527",13
"528",6
"529",2
"530",16
"531",2
"532",2
"533",2
"534",6
"535",16
"536",8
"537",16
"538",6
"539",6
"540",9
"541",7
"542",3
"543",3
"544",16
"545",10
"546",8
"547",3
"548",2
"549",6
"550",3
"551",7
"552",1
"553",6
"554",3
"555",6
"556",8
"557",12
"558",6
"559",6
"560",7
"561",16
"562",9
"563",9
"564",6
"565",16
"566",5
"567",3
"568",16
"569",6
"570",13
"571",6
"572",9
"573",6
"574",8
"575",9
"576",8
"577",6
"578",7
"579",2
"580",16
