"","x"
"1",0.113710525071165
"2",0.277428406334486
"3",1
"4",2
"5",3
"6",4
"7",4
"8",4
"9",5
"10",6
"11",5
"12",7
"13",6
"14",1
"15",4
"16",5
"17",4
"18",8
"19",9
"20",4
"21",3
"22",6
"23",9
"24",1
"25",4
"26",3
"27",4
"28",1
"29",3
"30",5
"31",4
"32",5
"33",4
"34",1
"35",4
"36",3
"37",4
"38",6
"39",5
"40",7
"41",3
"42",1
"43",5
"44",9
"45",7
"46",3
"47",3
"48",9
"49",3
"50",4
"51",6
"52",7
"53",6
"54",4
"55",7
"56",3
"57",7
"58",6
"59",4
"60",3
"61",4
"62",2
"63",5
"64",10
"65",6
"66",4
"67",7
"68",7
"69",3
"70",3
"71",9
"72",5
"73",4
"74",1
"75",1
"76",2
"77",6
"78",6
"79",5
"80",4
"81",4
"82",9
"83",4
"84",1
"85",2
"86",4
"87",9
"88",5
"89",4
"90",3
"91",5
"92",4
"93",6
"94",3
"95",5
"96",3
"97",2
"98",3
"99",3
"100",4
"101",4
"102",3
"103",6
"104",1
"105",9
"106",1
"107",7
"108",4
"109",9
"110",4
"111",4
"112",4
"113",5
"114",3
"115",9
"116",4
"117",6
"118",7
"119",1
"120",5
"121",9
"122",1
"123",7
"124",3
"125",4
"126",6
"127",3
"128",1
"129",8
"130",7
"131",3
"132",3
"133",4
"134",3
"135",4
"136",5
"137",4
"138",4
"139",4
"140",6
"141",3
"142",4
"143",9
"144",1
"145",4
"146",4
"147",4
"148",3
"149",3
"150",5
"151",9
"152",4
"153",4
"154",9
"155",4
"156",7
"157",3
"158",3
"159",5
"160",9
"161",3
"162",5
"163",4
"164",4
"165",6
"166",2
"167",3
"168",11
"169",12
"170",9
"171",4
"172",11
"173",3
"174",4
"175",6
"176",6
"177",4
"178",9
"179",9
"180",1
"181",3
"182",2
"183",4
"184",4
"185",4
"186",4
"187",13
"188",7
"189",6
"190",3
"191",6
"192",9
"193",9
"194",1
"195",3
"196",4
"197",6
"198",3
"199",4
"200",6
"201",3
"202",9
"203",6
"204",3
"205",4
"206",4
"207",9
"208",4
"209",4
"210",4
"211",3
"212",3
"213",4
"214",4
"215",1
"216",4
"217",4
"218",7
"219",7
"220",4
"221",5
"222",4
"223",9
"224",9
"225",5
"226",3
"227",4
"228",3
"229",10
"230",3
"231",5
"232",3
"233",1
"234",4
"235",6
"236",3
"237",3
"238",4
"239",3
"240",9
"241",1
"242",3
"243",4
"244",3
"245",1
"246",3
"247",3
"248",3
"249",7
"250",2
"251",5
"252",3
"253",2
"254",4
"255",9
"256",4
"257",7
"258",6
"259",4
"260",6
"261",4
"262",4
"263",13
"264",4
"265",7
"266",5
"267",4
"268",3
"269",5
"270",4
"271",5
"272",3
"273",4
"274",4
"275",14
"276",6
"277",6
"278",7
"279",4
"280",11
"281",4
"282",4
"283",4
"284",4
"285",3
"286",3
"287",3
"288",5
"289",6
"290",9
"291",11
"292",7
"293",4
"294",9
"295",4
"296",4
"297",6
"298",7
"299",4
"300",4
"301",4
"302",11
"303",4
"304",3
"305",5
"306",3
"307",7
"308",3
"309",8
"310",3
"311",4
"312",4
"313",8
"314",4
"315",9
"316",4
"317",7
"318",14
"319",4
"320",7
"321",5
"322",9
"323",4
"324",4
"325",5
