"","x"
"1",0.252337368366565
"2",0.481818230712011
"3",10
"4",9
"5",13
"6",1
"7",6
"8",1
"9",9
"10",11
"11",9
"12",10
"13",10
"14",11
"15",4
"16",9
"17",10
"18",10
"19",10
"20",4
"21",9
"22",13
"23",10
"24",10
"25",9
"26",9
"27",10
"28",10
"29",13
"30",4
"31",4
"32",9
"33",9
"34",10
"35",4
"36",10
"37",15
"38",10
"39",9
"40",11
"41",9
"42",1
"43",9
"44",13
"45",10
"46",9
"47",9
"48",13
"49",9
"50",11
"51",11
"52",10
"53",13
"54",9
"55",10
"56",13
"57",11
"58",13
"59",9
"60",9
"61",1
"62",9
"63",1
"64",10
"65",13
"66",9
"67",1
"68",13
"69",10
"70",11
"71",9
"72",9
"73",15
"74",13
"75",9
"76",9
"77",13
"78",13
"79",15
"80",9
"81",15
"82",10
"83",9
"84",10
"85",1
"86",4
"87",11
"88",4
"89",6
"90",9
"91",9
"92",4
"93",10
"94",9
"95",4
"96",10
"97",9
"98",11
"99",10
"100",15
"101",9
"102",13
"103",11
"104",13
"105",11
"106",13
"107",15
"108",6
"109",13
"110",4
"111",6
"112",4
"113",9
"114",10
"115",10
"116",4
"117",13
"118",10
"119",13
"120",8
"121",10
"122",13
"123",13
"124",10
"125",4
"126",11
"127",8
"128",11
"129",10
"130",10
"131",13
"132",10
"133",1
"134",13
"135",9
"136",6
"137",9
"138",9
"139",1
"140",11
"141",11
"142",4
"143",10
"144",11
"145",9
"146",15
"147",3
"148",10
"149",10
"150",1
"151",10
"152",9
"153",9
"154",13
"155",10
"156",11
"157",9
"158",13
"159",9
"160",10
"161",3
"162",1
"163",3
"164",15
"165",10
"166",10
"167",9
"168",1
"169",3
"170",10
"171",4
"172",11
"173",10
"174",4
"175",13
"176",13
"177",1
"178",13
"179",10
"180",13
"181",10
"182",9
"183",9
"184",1
"185",15
"186",6
"187",1
"188",9
"189",13
"190",11
"191",11
"192",9
"193",11
"194",10
"195",9
"196",1
"197",10
"198",13
"199",9
"200",13
"201",13
"202",10
"203",10
"204",9
"205",10
"206",9
"207",10
"208",10
"209",4
"210",11
"211",10
"212",10
"213",4
"214",11
"215",13
"216",9
"217",3
"218",10
"219",11
"220",3
"221",1
"222",9
"223",13
"224",10
"225",10
"226",11
"227",9
"228",9
"229",9
"230",3
"231",4
"232",6
"233",11
"234",9
"235",13
"236",9
"237",13
"238",1
"239",1
"240",9
"241",13
"242",11
"243",9
"244",13
"245",13
"246",11
"247",10
"248",13
"249",9
"250",9
"251",6
"252",3
"253",15
"254",15
"255",10
"256",9
"257",9
"258",13
"259",4
"260",11
"261",4
"262",9
"263",10
"264",6
"265",11
"266",11
"267",9
"268",9
"269",6
"270",6
"271",10
"272",9
"273",1
"274",1
"275",13
"276",13
"277",13
"278",11
"279",9
"280",9
"281",6
"282",4
"283",4
"284",9
"285",13
"286",6
"287",11
"288",1
"289",11
"290",13
"291",13
"292",13
"293",10
"294",13
"295",9
"296",6
"297",11
"298",3
"299",10
"300",1
"301",9
"302",11
"303",4
"304",10
"305",10
"306",10
"307",13
"308",6
"309",9
"310",10
"311",6
"312",1
"313",9
"314",9
"315",10
"316",9
"317",10
"318",11
"319",4
"320",3
"321",4
"322",1
"323",9
"324",9
"325",9
"326",9
"327",9
"328",11
"329",4
"330",4
"331",10
"332",1
"333",11
"334",9
"335",13
"336",10
"337",13
"338",13
"339",10
"340",11
"341",13
"342",1
"343",11
"344",4
"345",10
"346",9
"347",10
"348",13
"349",11
"350",10
"351",10
"352",9
"353",10
"354",13
"355",10
"356",13
"357",9
"358",10
"359",13
"360",10
"361",9
"362",10
"363",9
"364",10
"365",11
"366",9
"367",11
"368",4
"369",1
"370",10
"371",11
"372",9
"373",15
"374",10
"375",11
"376",15
"377",10
"378",9
"379",1
"380",10
"381",10
"382",3
"383",10
"384",13
"385",10
"386",6
"387",11
"388",9
"389",11
"390",4
"391",1
"392",13
"393",13
"394",10
"395",6
"396",10
"397",9
"398",10
"399",10
"400",1
"401",13
"402",13
"403",9
"404",13
"405",10
"406",11
"407",9
"408",4
"409",9
"410",9
"411",11
"412",10
"413",10
"414",9
"415",13
"416",3
"417",10
"418",6
"419",6
"420",10
"421",9
"422",4
"423",9
"424",10
"425",9
"426",9
"427",10
"428",10
"429",9
"430",13
"431",9
"432",9
"433",4
"434",13
"435",3
"436",4
"437",15
"438",4
"439",9
"440",10
"441",4
"442",9
"443",13
"444",15
"445",10
"446",11
"447",13
"448",9
"449",1
"450",10
"451",10
"452",10
"453",10
"454",9
"455",11
"456",10
"457",13
"458",13
"459",4
"460",13
"461",10
"462",10
"463",13
"464",10
"465",9
"466",4
"467",10
"468",10
"469",9
"470",10
"471",13
"472",3
"473",6
"474",11
"475",11
"476",9
"477",9
"478",10
"479",9
"480",10
"481",1
"482",4
"483",6
"484",9
"485",13
"486",10
"487",9
"488",10
"489",1
"490",4
"491",10
"492",1
"493",10
"494",9
"495",4
"496",6
"497",6
"498",9
"499",4
"500",11
"501",9
"502",15
"503",10
"504",10
"505",10
"506",9
"507",3
"508",9
"509",11
"510",11
"511",10
"512",10
"513",9
"514",13
"515",9
"516",10
"517",10
"518",10
"519",9
"520",9
"521",10
"522",7
"523",9
"524",9
"525",13
"526",9
"527",10
"528",10
"529",9
"530",10
"531",10
"532",10
"533",4
"534",1
"535",13
"536",10
"537",11
"538",10
"539",10
"540",10
"541",10
"542",15
"543",8
"544",9
"545",4
"546",11
"547",15
"548",13
"549",10
"550",9
"551",13
"552",13
"553",10
"554",3
"555",6
"556",9
"557",11
"558",11
"559",8
"560",10
"561",4
"562",10
"563",1
"564",13
"565",13
"566",9
"567",9
"568",9
"569",10
"570",10
"571",1
"572",1
"573",6
"574",15
"575",10
"576",10
"577",13
"578",9
"579",10
"580",10
"581",9
"582",9
"583",9
"584",10
"585",3
"586",13
"587",9
"588",10
"589",6
"590",11
"591",11
"592",9
"593",9
"594",13
"595",10
"596",10
"597",10
"598",10
"599",10
"600",13
"601",10
"602",10
"603",8
"604",9
"605",9
"606",11
"607",9
"608",11
"609",4
"610",10
"611",10
"612",13
"613",11
"614",4
"615",3
"616",3
"617",1
"618",6
"619",1
"620",10
"621",1
"622",1
"623",1
"624",10
"625",4
"626",10
"627",9
"628",13
"629",1
"630",13
"631",9
"632",10
"633",9
"634",1
"635",10
"636",9
"637",9
"638",13
"639",9
"640",11
"641",4
"642",10
"643",10
"644",11
"645",11
"646",9
"647",9
"648",4
"649",10
"650",9
"651",9
"652",10
"653",9
"654",9
"655",6
"656",1
"657",9
"658",11
"659",4
"660",9
"661",9
"662",13
"663",10
"664",13
"665",7
"666",11
"667",4
"668",11
"669",8
"670",11
"671",1
"672",9
"673",1
"674",11
"675",9
"676",11
"677",15
"678",9
"679",10
"680",3
"681",10
"682",9
"683",13
"684",9
"685",4
"686",10
"687",1
"688",3
"689",6
"690",9
"691",10
"692",13
"693",9
"694",13
"695",9
"696",10
"697",6
"698",9
"699",13
"700",11
"701",4
"702",13
"703",9
"704",10
"705",1
"706",4
"707",4
"708",4
"709",11
"710",9
"711",11
"712",13
"713",9
"714",11
"715",1
"716",4
"717",9
"718",6
"719",4
"720",11
"721",9
"722",13
"723",3
"724",4
"725",13
"726",10
"727",10
"728",3
"729",4
"730",9
"731",9
"732",9
"733",11
"734",9
"735",11
"736",9
"737",10
"738",10
"739",10
"740",13
"741",10
"742",9
"743",10
"744",6
"745",10
"746",4
"747",10
"748",9
"749",10
"750",13
"751",9
"752",4
"753",10
"754",6
"755",10
"756",6
"757",11
"758",1
"759",10
"760",9
"761",11
"762",10
"763",9
"764",13
"765",11
"766",9
"767",4
"768",10
"769",11
"770",13
"771",4
"772",10
"773",13
"774",10
"775",9
"776",10
"777",13
"778",9
"779",9
"780",10
"781",13
"782",13
"783",13
"784",13
"785",15
"786",4
"787",9
"788",11
"789",1
"790",10
"791",13
"792",9
"793",9
"794",6
"795",10
"796",13
"797",13
"798",10
"799",10
"800",10
"801",10
"802",15
"803",10
"804",13
"805",1
"806",9
"807",4
"808",10
"809",10
"810",9
"811",9
"812",15
"813",9
"814",10
"815",6
"816",10
"817",10
"818",6
"819",10
"820",11
"821",9
"822",4
"823",10
"824",11
"825",11
"826",4
"827",6
"828",9
"829",11
"830",4
"831",9
"832",4
"833",1
