"","x"
"1",0.035056935015974
"2",0.152822098823794
"3",1
"4",2
"5",1
"6",2
"7",1
"8",1
"9",1
"10",3
"11",1
"12",1
"13",1
"14",1
"15",1
"16",1
"17",1
"18",1
"19",3
"20",1
"21",1
"22",1
"23",4
"24",1
"25",1
"26",1
"27",1
"28",5
"29",3
"30",1
"31",6
"32",1
"33",1
"34",1
"35",2
"36",1
"37",5
"38",1
"39",1
"40",2
"41",1
"42",1
"43",1
"44",7
"45",2
"46",1
"47",1
"48",1
"49",3
"50",8
"51",1
"52",1
"53",1
"54",8
"55",1
"56",1
"57",1
"58",6
"59",1
"60",1
"61",6
"62",1
"63",1
"64",1
"65",9
"66",1
"67",1
"68",9
"69",1
"70",1
"71",1
"72",5
"73",1
"74",2
"75",2
"76",7
"77",1
"78",1
"79",1
"80",1
"81",3
"82",3
"83",1
"84",1
"85",6
"86",2
"87",1
"88",1
"89",1
"90",1
"91",1
"92",1
"93",1
"94",3
"95",8
"96",1
"97",1
"98",1
"99",5
"100",1
"101",8
"102",1
"103",1
"104",1
"105",1
"106",1
"107",6
"108",1
"109",1
"110",1
"111",1
"112",1
"113",1
"114",1
"115",1
"116",1
"117",1
"118",2
"119",1
"120",3
"121",1
"122",1
"123",1
"124",1
"125",1
"126",1
"127",1
"128",1
"129",1
"130",1
"131",1
"132",2
"133",1
"134",1
"135",1
"136",1
"137",1
"138",1
"139",1
"140",1
"141",1
"142",1
"143",1
"144",1
"145",1
"146",1
"147",1
"148",4
"149",6
"150",1
"151",2
"152",1
"153",1
"154",1
"155",8
"156",1
"157",1
"158",1
"159",3
"160",1
"161",2
"162",3
"163",1
"164",1
"165",1
"166",1
"167",3
"168",1
"169",8
"170",1
"171",1
"172",1
"173",1
"174",1
"175",1
"176",1
"177",2
"178",1
"179",1
"180",1
"181",1
"182",1
"183",3
"184",1
"185",1
"186",1
"187",3
"188",1
"189",1
"190",1
"191",1
"192",3
"193",4
"194",1
"195",1
"196",1
"197",1
"198",5
"199",1
"200",1
"201",1
"202",1
"203",1
"204",1
"205",2
"206",1
"207",1
"208",1
"209",1
"210",1
"211",2
"212",1
"213",1
"214",1
"215",1
"216",1
"217",1
"218",1
"219",1
"220",1
"221",3
"222",1
"223",1
"224",1
"225",2
"226",3
"227",8
"228",2
"229",7
"230",1
"231",1
"232",1
"233",1
"234",1
"235",1
"236",1
"237",1
"238",1
"239",8
"240",10
"241",1
"242",1
"243",1
"244",1
"245",3
"246",2
"247",1
"248",1
"249",1
"250",1
"251",1
"252",1
"253",1
"254",1
"255",1
"256",8
"257",1
"258",1
"259",1
"260",1
"261",1
"262",1
"263",2
"264",1
"265",1
"266",1
"267",1
"268",10
"269",1
"270",1
"271",1
"272",1
"273",1
"274",1
"275",6
"276",6
"277",1
"278",1
"279",1
"280",1
"281",1
"282",1
"283",1
"284",1
"285",8
"286",1
"287",1
"288",1
"289",1
"290",1
"291",1
"292",1
"293",9
"294",1
"295",5
"296",1
"297",1
"298",3
"299",8
"300",1
"301",1
"302",1
"303",1
"304",1
"305",1
"306",6
"307",1
"308",2
"309",2
"310",1
"311",1
"312",1
"313",1
"314",1
"315",1
"316",1
"317",1
"318",1
"319",8
"320",1
"321",1
"322",3
"323",1
"324",1
"325",1
"326",3
"327",1
"328",1
"329",1
"330",1
"331",1
"332",1
"333",1
"334",3
"335",1
"336",1
"337",1
"338",1
"339",5
"340",1
"341",1
"342",1
"343",1
"344",3
"345",1
"346",1
"347",8
"348",1
"349",1
"350",1
"351",1
"352",3
"353",1
"354",1
"355",8
"356",1
"357",1
"358",1
"359",1
"360",1
"361",1
"362",1
"363",1
"364",1
"365",2
"366",1
"367",1
"368",1
"369",1
"370",2
"371",1
"372",6
"373",5
"374",1
"375",2
"376",1
"377",1
"378",1
"379",1
"380",9
"381",1
"382",1
"383",1
"384",1
"385",1
"386",9
"387",5
"388",2
"389",2
"390",8
"391",1
"392",4
"393",1
"394",1
"395",1
"396",1
"397",2
"398",1
"399",1
"400",1
"401",3
"402",2
"403",5
"404",8
"405",8
"406",1
"407",1
"408",1
"409",1
"410",1
"411",1
"412",1
"413",1
"414",2
"415",2
"416",1
"417",1
"418",1
"419",1
"420",6
"421",8
"422",9
"423",1
"424",1
"425",3
"426",8
"427",1
"428",1
"429",1
"430",1
"431",1
"432",1
"433",1
"434",9
"435",1
"436",1
"437",5
"438",10
"439",1
"440",1
"441",2
"442",1
"443",1
"444",1
"445",1
"446",1
"447",2
"448",1
"449",8
"450",1
"451",5
"452",1
"453",3
"454",1
"455",1
"456",1
"457",5
"458",1
"459",1
"460",1
"461",1
"462",1
"463",1
"464",2
"465",2
"466",1
"467",1
"468",1
"469",1
"470",1
"471",1
"472",1
"473",1
"474",1
"475",1
"476",1
"477",1
"478",1
"479",1
"480",1
"481",1
"482",1
"483",1
"484",1
"485",1
"486",1
"487",1
"488",1
"489",1
"490",3
"491",1
"492",1
"493",1
"494",1
"495",1
"496",1
"497",1
"498",1
"499",1
"500",3
"501",8
"502",8
"503",1
"504",4
"505",1
"506",1
"507",1
"508",1
"509",1
"510",1
"511",1
"512",1
"513",1
"514",1
"515",1
"516",1
"517",1
"518",1
"519",3
"520",1
"521",1
"522",1
"523",1
"524",1
"525",1
"526",1
"527",1
"528",2
"529",1
"530",1
"531",1
"532",1
"533",1
"534",1
"535",1
"536",2
"537",1
"538",1
"539",8
"540",1
"541",1
"542",3
"543",1
"544",1
"545",1
"546",2
"547",1
"548",1
"549",3
"550",1
"551",7
"552",1
"553",1
"554",1
"555",1
"556",1
"557",1
"558",8
"559",1
"560",2
"561",6
"562",1
"563",1
"564",1
"565",1
"566",1
"567",1
"568",1
"569",1
"570",1
"571",1
"572",1
"573",1
"574",1
"575",1
"576",3
"577",1
"578",1
"579",1
"580",3
"581",1
"582",1
"583",1
"584",1
"585",5
"586",1
"587",1
"588",1
"589",1
"590",1
"591",1
"592",1
"593",1
"594",1
"595",1
"596",1
"597",1
"598",1
"599",1
"600",1
"601",1
"602",1
"603",1
"604",1
"605",1
"606",2
"607",1
"608",1
"609",1
"610",1
"611",1
"612",5
"613",1
"614",1
"615",4
"616",1
"617",1
"618",1
"619",1
"620",1
"621",8
"622",3
"623",1
"624",1
"625",1
"626",5
"627",1
"628",1
"629",1
"630",1
"631",1
"632",8
"633",1
"634",3
"635",1
"636",2
"637",5
"638",1
"639",1
"640",1
"641",6
"642",1
"643",1
"644",1
"645",1
"646",1
"647",1
"648",1
"649",1
"650",1
"651",10
"652",6
"653",1
"654",1
"655",1
"656",1
"657",1
"658",2
"659",1
"660",2
"661",10
"662",1
"663",2
"664",1
"665",9
"666",6
"667",1
"668",1
"669",1
"670",1
"671",1
"672",1
"673",1
"674",1
"675",3
"676",1
"677",3
"678",1
"679",8
"680",1
"681",7
