"","x"
"1",0.093314941389204
"2",0.142555365887876
"3",3
"4",5
"5",5
"6",3
"7",5
"8",3
"9",3
"10",8
"11",6
"12",3
"13",10
"14",5
"15",3
"16",1
"17",5
"18",4
"19",9
"20",4
"21",5
"22",2
"23",7
"24",9
"25",4
"26",9
"27",4
"28",3
"29",7
"30",2
"31",2
"32",3
"33",1
"34",4
"35",9
"36",1
"37",7
"38",1
"39",1
"40",3
"41",7
"42",9
"43",6
"44",8
"45",10
"46",5
"47",5
"48",1
"49",9
"50",9
"51",10
"52",5
"53",4
"54",8
"55",4
"56",10
"57",1
"58",1
"59",2
"60",5
"61",6
"62",9
"63",1
"64",3
"65",5
"66",3
"67",2
"68",9
"69",6
"70",9
"71",8
"72",7
"73",10
"74",3
"75",7
"76",6
"77",4
"78",2
"79",7
"80",10
"81",4
"82",2
"83",2
"84",5
"85",5
"86",5
"87",9
"88",3
"89",2
"90",10
"91",4
"92",2
"93",2
"94",2
"95",1
"96",1
"97",4
"98",3
"99",3
"100",1
"101",1
"102",2
"103",1
"104",4
"105",2
"106",1
"107",3
"108",10
"109",1
"110",4
"111",7
"112",10
"113",2
"114",7
"115",1
"116",4
"117",5
"118",1
"119",10
"120",2
"121",2
"122",9
"123",9
"124",2
"125",3
"126",9
"127",5
"128",5
"129",3
"130",10
"131",5
"132",4
"133",2
"134",9
"135",9
"136",2
"137",2
"138",6
"139",3
"140",8
"141",2
"142",5
"143",5
"144",4
"145",7
"146",3
"147",9
"148",3
"149",1
"150",10
"151",8
"152",7
"153",9
"154",4
"155",8
"156",9
"157",3
"158",3
"159",2
"160",1
"161",1
"162",1
"163",9
"164",10
"165",5
"166",2
"167",6
"168",6
"169",7
"170",1
"171",5
"172",7
"173",1
"174",3
"175",3
"176",9
"177",3
"178",2
"179",3
"180",8
"181",5
"182",3
"183",10
"184",3
"185",10
"186",4
"187",8
"188",2
"189",4
"190",1
"191",4
"192",2
"193",7
"194",9
"195",4
"196",10
"197",3
"198",1
"199",7
"200",5
"201",2
"202",9
"203",6
"204",7
"205",3
"206",3
"207",4
"208",4
"209",10
"210",2
"211",5
"212",4
"213",7
"214",1
"215",4
"216",5
"217",5
"218",2
"219",1
"220",5
"221",1
"222",1
"223",2
"224",2
"225",2
"226",2
"227",4
"228",9
"229",7
"230",10
"231",3
"232",5
"233",1
"234",10
"235",3
"236",1
"237",6
"238",4
"239",4
"240",4
"241",8
"242",9
"243",10
"244",9
"245",2
"246",9
"247",3
"248",1
"249",1
"250",2
"251",9
"252",10
"253",3
"254",5
"255",5
"256",5
"257",6
"258",7
"259",3
"260",2
"261",2
"262",3
"263",3
"264",3
"265",9
"266",4
"267",1
"268",5
"269",5
"270",7
"271",3
"272",10
"273",1
"274",7
"275",5
"276",5
"277",9
"278",3
"279",5
"280",1
"281",3
"282",10
"283",5
"284",10
"285",1
"286",5
"287",1
"288",9
"289",1
"290",7
"291",2
"292",9
"293",5
"294",3
"295",1
"296",3
"297",7
"298",9
"299",4
"300",6
"301",6
"302",9
"303",5
"304",9
"305",10
"306",5
"307",3
"308",5
"309",2
"310",4
"311",7
"312",6
"313",6
"314",7
"315",8
"316",9
"317",2
"318",1
"319",3
"320",8
"321",8
"322",1
"323",10
"324",10
"325",5
"326",2
"327",4
"328",1
"329",2
"330",4
"331",1
"332",10
"333",5
"334",2
"335",10
"336",5
"337",10
"338",5
"339",4
"340",4
"341",2
"342",5
"343",5
"344",2
"345",3
"346",7
"347",9
"348",2
"349",5
"350",3
"351",3
"352",5
"353",2
"354",1
"355",10
"356",3
"357",4
"358",7
"359",5
"360",5
"361",1
"362",9
"363",7
"364",2
"365",2
"366",7
"367",7
"368",5
"369",5
"370",9
"371",5
"372",5
"373",9
"374",5
"375",5
"376",3
"377",6
"378",8
"379",2
"380",1
"381",4
"382",7
"383",4
"384",4
"385",2
"386",5
"387",2
"388",10
"389",4
"390",10
"391",2
"392",1
"393",9
"394",10
"395",1
"396",5
"397",3
"398",4
"399",2
"400",7
"401",4
"402",3
"403",10
"404",4
"405",9
"406",1
"407",3
"408",1
"409",3
"410",5
"411",7
"412",2
"413",9
"414",2
"415",8
"416",5
"417",7
"418",6
"419",1
"420",10
"421",1
"422",5
"423",5
"424",9
"425",3
"426",2
"427",5
"428",9
"429",1
"430",9
"431",3
"432",2
"433",9
"434",10
"435",7
"436",1
"437",9
"438",10
"439",9
"440",2
"441",7
"442",8
"443",2
"444",9
"445",8
"446",7
"447",3
"448",2
"449",4
"450",2
"451",3
"452",2
"453",4
"454",5
"455",5
"456",1
"457",3
"458",9
"459",2
"460",5
"461",10
"462",1
"463",3
"464",3
"465",7
"466",5
"467",4
"468",1
"469",1
"470",1
"471",1
"472",6
"473",3
"474",2
"475",2
"476",3
"477",5
"478",4
"479",10
"480",1
"481",3
"482",2
"483",2
"484",10
"485",7
"486",3
"487",5
"488",10
"489",2
"490",7
"491",7
"492",10
"493",10
"494",1
"495",3
"496",10
"497",4
"498",3
"499",3
"500",2
"501",7
"502",4
"503",7
"504",3
"505",7
"506",2
"507",1
"508",3
"509",3
"510",1
"511",1
"512",1
"513",5
"514",2
"515",5
"516",4
"517",5
"518",2
"519",6
"520",9
"521",2
"522",5
"523",5
"524",4
"525",3
"526",1
"527",5
"528",10
"529",1
"530",10
"531",7
"532",3
"533",5
"534",5
"535",5
"536",2
"537",8
"538",3
"539",8
"540",9
"541",5
"542",9
"543",4
"544",2
"545",1
"546",4
"547",5
"548",1
"549",10
"550",8
"551",2
"552",7
"553",1
"554",10
"555",7
"556",5
"557",2
"558",4
"559",10
"560",10
"561",4
"562",10
"563",3
"564",2
"565",6
"566",4
"567",10
"568",4
"569",1
"570",4
"571",1
"572",5
"573",10
"574",1
"575",10
"576",1
"577",10
"578",4
"579",5
"580",6
"581",10
"582",6
"583",9
"584",5
"585",7
"586",10
"587",5
"588",10
"589",9
"590",3
"591",10
"592",4
"593",4
"594",1
"595",10
"596",2
"597",10
"598",5
"599",5
"600",8
"601",7
"602",2
"603",3
"604",2
"605",3
"606",2
"607",7
"608",5
"609",4
"610",2
"611",7
"612",3
"613",1
"614",1
"615",4
"616",5
"617",5
"618",4
"619",5
"620",5
"621",4
"622",10
"623",2
"624",9
"625",3
"626",3
"627",8
"628",1
"629",2
"630",2
"631",3
"632",6
"633",1
"634",5
"635",1
"636",9
"637",1
"638",7
"639",4
"640",3
"641",1
"642",5
"643",9
"644",10
"645",1
"646",7
"647",9
"648",3
"649",4
"650",5
"651",9
"652",1
"653",2
"654",2
"655",7
"656",6
"657",5
"658",2
"659",1
"660",7
"661",1
"662",3
"663",5
"664",1
"665",5
"666",2
"667",5
"668",3
"669",5
"670",2
"671",2
"672",5
"673",2
"674",10
"675",8
"676",10
"677",9
"678",10
"679",5
"680",1
"681",2
"682",9
"683",1
"684",2
"685",10
"686",8
"687",4
"688",3
"689",6
"690",2
"691",9
"692",9
"693",3
"694",4
"695",5
"696",9
"697",9
"698",2
"699",7
"700",3
"701",7
"702",1
"703",4
"704",2
"705",1
"706",9
"707",4
"708",5
"709",3
"710",2
"711",8
"712",7
"713",5
"714",2
"715",4
"716",1
"717",3
"718",3
"719",4
"720",8
"721",3
"722",3
"723",1
"724",4
"725",3
"726",10
"727",9
"728",5
"729",3
"730",1
"731",4
"732",3
"733",7
"734",1
"735",3
"736",9
"737",10
"738",7
"739",6
"740",5
"741",1
"742",3
"743",2
"744",3
"745",5
"746",8
"747",7
"748",3
"749",9
"750",9
"751",9
"752",2
"753",3
"754",1
"755",5
"756",5
"757",7
"758",2
"759",1
"760",6
"761",2
"762",7
"763",5
"764",3
"765",3
"766",10
"767",2
"768",5
"769",9
"770",7
"771",5
"772",6
"773",3
"774",9
"775",7
"776",5
"777",7
"778",2
"779",7
"780",5
"781",9
"782",10
"783",2
"784",5
"785",9
"786",7
"787",2
"788",2
"789",3
"790",5
"791",5
"792",1
"793",4
"794",3
"795",5
"796",1
"797",4
"798",3
"799",8
"800",2
"801",10
"802",5
"803",5
"804",4
"805",1
"806",5
"807",5
"808",10
"809",3
"810",9
"811",3
"812",4
"813",7
"814",5
"815",2
"816",2
"817",8
"818",1
"819",10
"820",7
"821",5
"822",5
"823",2
"824",3
"825",3
"826",3
"827",7
"828",2
"829",6
"830",7
"831",1
"832",2
"833",6
"834",9
"835",1
"836",9
"837",8
"838",9
"839",10
"840",6
"841",9
"842",5
"843",2
"844",3
"845",3
"846",7
"847",3
"848",10
"849",5
"850",5
"851",9
"852",6
"853",4
"854",5
"855",7
"856",5
"857",5
"858",4
"859",4
"860",4
"861",1
"862",4
"863",7
"864",7
"865",7
"866",3
"867",5
"868",5
"869",4
"870",3
"871",2
"872",10
"873",9
"874",4
"875",8
"876",9
"877",5
"878",5
"879",2
"880",9
"881",1
"882",9
"883",7
"884",1
"885",3
"886",7
"887",3
"888",1
"889",1
"890",10
"891",10
"892",3
"893",2
"894",1
"895",10
"896",5
"897",5
"898",1
"899",10
"900",5
"901",2
"902",4
"903",5
"904",9
"905",8
"906",5
"907",10
"908",1
"909",10
"910",3
"911",5
"912",3
"913",7
"914",9
"915",1
"916",2
"917",1
"918",3
"919",4
"920",2
"921",1
"922",4
"923",5
"924",3
"925",3
"926",5
"927",6
"928",3
"929",7
"930",4
"931",7
"932",10
"933",9
"934",1
"935",4
"936",1
"937",2
"938",1
"939",1
"940",4
"941",2
"942",4
"943",4
"944",5
"945",7
"946",6
"947",3
"948",4
"949",3
"950",5
"951",3
"952",1
"953",5
"954",9
"955",9
"956",1
