,dataset,dropout,kmeans_ari_0,kmeans_nmi_0,layers,leiden_ari_0,leiden_nmi_0,lr,run,temperature
0,data_0c8,0.9,0.5953685287896211,0.6143237418769026,"[200, 100, 30]",0.7673138683314121,0.6855154555543104,1e-05,0.0,0.07
1,data_0c8,0.9,0.5963866263546279,0.6187402039231922,"[200, 100, 30]",0.7751035893176039,0.692933166045888,1e-05,1.0,0.07
2,data_0c8,0.9,0.6101380600043417,0.6230065999610517,"[200, 100, 50, 30]",0.7600502962085992,0.6748461953305164,1e-05,0.0,0.07
3,data_0c8,0.9,0.6077025907086903,0.6201896687799335,"[200, 100, 50, 30]",0.7206394909956837,0.6539095303490509,1e-05,1.0,0.07
4,data_0c8,0.9,0.5771789010911555,0.6209867112729005,[50],0.7324156515971714,0.6334197067845245,1e-05,0.0,0.07
5,data_0c8,0.9,0.568510806939816,0.6111711475635193,[50],0.7425847603042942,0.6376232175662611,1e-05,1.0,0.07
6,data_0c8,0.9,0.5802892660661454,0.6206274854738091,"[100, 30]",0.7926953802175934,0.6939934181614684,1e-05,0.0,0.07
7,data_0c8,0.9,0.5823611036146447,0.6198001592791837,"[100, 30]",0.7840788050816957,0.6890305417908342,1e-05,1.0,0.07
8,data_0c8,0.9,0.5768918596889812,0.6193601453406333,[100],0.7029826637646005,0.5922923130849631,1e-05,0.0,0.07
9,data_0c8,0.9,0.5595982763462835,0.6151528507998514,[100],0.6871025163302211,0.5750669026785913,1e-05,1.0,0.07
10,data_0c8,0.8,0.5888170486740475,0.6338385625241705,"[200, 100, 30]",0.8049967251137836,0.7128175148567434,1e-05,0.0,0.07
11,data_0c8,0.8,0.6175657794501976,0.6407533273654594,"[200, 100, 30]",0.8076240536906172,0.7175246692106091,1e-05,1.0,0.07
12,data_0c8,0.8,0.5912477396127264,0.6387567476027045,"[200, 100, 50, 30]",0.8175600843607909,0.7273497262202977,1e-05,0.0,0.07
13,data_0c8,0.8,0.6296251561656898,0.6348308447303241,"[200, 100, 50, 30]",0.7888009813711409,0.7055918087324707,1e-05,1.0,0.07
14,data_0c8,0.8,0.5630623151523336,0.6004200475608388,[50],0.7287126544457865,0.6190232261790091,1e-05,0.0,0.07
15,data_0c8,0.8,0.5428460609245725,0.5985443115980974,[50],0.7031133359621863,0.5972773756925619,1e-05,1.0,0.07
